"","decimalLatitude","decimalLongitude","family","species","year","month","day","recordedBy","identifiedBy","sex","stateProvince","locality","coordinatePrecision","uid"
"38",41.0973512349,-8.5542709753,NA,"Bombus terrestris",2022,3,2,"vpaliteiro","vpaliteiro",NA,NA,"Parque biológico de Gaia",189,"i2_inaturalist_38"
"42",40.087837853,-8.4679796933,NA,"Nomada agrestis",2022,3,6,"luisrodrigues","luisrodrigues",NA,NA,"Condeixa-a-Nova, 3150, Portugal",8,"i2_inaturalist_42"
"43",43.1450342454,-4.8110153608,NA,"Bombus pratorum",2019,5,2,"aristotelis","aristotelis",NA,NA,"39588 Fuente Dé, Cantabria, España",122,"i2_inaturalist_43"
"44",41.0783333333,-8.6472222222,NA,"Anthophora plumipes",2022,3,11,"amanithor","amanithor",NA,NA,"4405-685 Vila Nova de Gaia, Portugal",NA,"i2_inaturalist_44"
"46",41.8192100522,-8.2980699539,NA,"Anthophora plumipes",2022,3,11,"ceciliabouman","ceciliabouman",NA,NA,"Entre Ambos-Os-Rios, 4980-020, Portugal",NA,"i2_inaturalist_46"
"49",36.8514111117,-6.4135611117,NA,"Xylocopa cantabrita",2015,4,1,"david_barros_cardona","david_barros_cardona",NA,NA,"Huelva, España",NA,"i2_inaturalist_49"
"50",40.2205914806,-5.0658713253,NA,"Bombus ruderatus",2022,3,1,"antoniorico","antoniorico",NA,NA,"Ávila, España",8,"i2_inaturalist_50"
"53",39.2854862412,-7.4278394621,NA,"Bombus terrestris",2022,3,10,"mtfoliveira","mtfoliveira",NA,NA,"Ribeiro do Baco, 7300 Portalegre, Portugal",15,"i2_inaturalist_53"
"54",40.4581343519,-3.7238732144,NA,"Bombus terrestris",2022,3,9,"shadegetafe","shadegetafe",NA,NA,"Cdad. Universitaria, Madrid, España",4,"i2_inaturalist_54"
"55",38.3091202704,-7.706582956,NA,"Apis mellifera",2022,3,10,"tomas321","tomas321",NA,NA,"7220-361 Portel, Portugal",11,"i2_inaturalist_55"
"57",38.8016170278,-9.4730583056,NA,"Bombus terrestris",2022,3,9,"pcareless","pcareless",NA,NA,"Sintra, PT-LI, PT",NA,"i2_inaturalist_57"
"58",37.9590374796,-7.2903151143,NA,"Apis mellifera",2022,3,9,"rfmc","rfmc",NA,NA,"7830 Vila Verde de Ficalho, Portugal",878,"i2_inaturalist_58"
"60",39.2854862412,-7.4278394621,NA,"Apis mellifera",2022,3,9,"mtfoliveira","mtfoliveira",NA,NA,"Ribeiro do Baco, 7300 Portalegre, Portugal",15,"i2_inaturalist_60"
"61",39.2854862412,-7.4278394621,NA,"Xylocopa violacea",2022,3,9,"mtfoliveira","mtfoliveira",NA,NA,"Ribeiro do Baco, 7300 Portalegre, Portugal",15,"i2_inaturalist_61"
"62",37.1443824412,-8.6078986497,NA,"Xylocopa violacea",2022,3,9,"arochaportugal","arochaportugal",NA,NA,"Portimão, 8500, Portugal",15,"i2_inaturalist_62"
"63",37.1445192752,-8.6076089712,NA,"Apis mellifera",2022,3,9,"arochaportugal","arochaportugal",NA,NA,"Cruzinha Apartado 41, 8500-132, Portugal",15,"i2_inaturalist_63"
"64",37.4312934875,-6.0402483939,NA,"Apis mellifera iberiensis",2022,3,9,"titolilo4","titolilo4",NA,NA,"41970 Santiponce, Sevilla, España",NA,"i2_inaturalist_64"
"65",38.7551699113,-9.1561193671,NA,"Apis mellifera",2022,3,9,"franciscotsantos","franciscotsantos",NA,NA,"Campo Grande, Lisboa, Portugal",7,"i2_inaturalist_65"
"69",37.0884974389,-8.7289012421,NA,"Apis mellifera",2022,3,1,"arochaportugal","arochaportugal",NA,NA,"8600 Luz, Portugal",15,"i2_inaturalist_69"
"70",37.0885740362,-8.7269357123,NA,"Apis mellifera",2022,3,1,"arochaportugal","arochaportugal",NA,NA,"8600 Luz, Portugal",15,"i2_inaturalist_70"
"71",37.0869395516,-8.7313865738,NA,"Apis mellifera",2022,3,1,"arochaportugal","arochaportugal",NA,NA,"8600 Luz, Portugal",15,"i2_inaturalist_71"
"73",38.2188638889,-8.2670472222,NA,"Bombus terrestris lusitanicus",2022,3,6,"joaotiagotavares","joaotiagotavares",NA,NA,"Torrão, Portugal",NA,"i2_inaturalist_73"
"77",38.2185555556,-8.2666666667,NA,"Bombus terrestris lusitanicus",2022,3,6,"joaotiagotavares","joaotiagotavares",NA,NA,"Torrão, Portugal",NA,"i2_inaturalist_77"
"79",41.0623733333,-3.5300666667,NA,"Apis mellifera",2021,12,16,"mario_vega","mario_vega",NA,NA,"Madrid, Spain",NA,"i2_inaturalist_79"
"80",41.0788888889,-8.6475,NA,"Bombus ruderatus",2022,3,8,"amanithor","amanithor",NA,NA,"4405-685 Vila Nova de Gaia, Portugal",NA,"i2_inaturalist_80"
"81",41.0788888889,-8.6475,NA,"Bombus pascuorum",2022,3,8,"amanithor","amanithor",NA,NA,"4405-685 Vila Nova de Gaia, Portugal",NA,"i2_inaturalist_81"
"86",41.298105,-3.7505333333,NA,"Apis mellifera",2016,10,8,"angel_fernandez_cancio","angel_fernandez_cancio",NA,NA,"Sepúlveda, Segovia, España",NA,"i2_inaturalist_86"
"87",41.2529447415,-8.3026580089,NA,"Bombus terrestris lusitanicus",2022,3,7,"chico1","chico1",NA,NA,"Lousada, 4620, Portugal",15,"i2_inaturalist_87"
"88",37.3667797105,-6.0501455253,NA,"Xylocopa violacea",2022,3,4,"alvaro_alemany","alvaro_alemany",NA,NA,"Sevilla, España",15,"i2_inaturalist_88"
"89",37.1429743,-8.5403375,NA,"Xylocopa violacea",2022,3,8,"jose_brito1","jose_brito1",NA,NA,"8500-666 Portimão, Portugal",46,"i2_inaturalist_89"
"91",39.2371833333,-8.686705,NA,"Bombus terrestris",2022,3,6,"sarafonseca","sarafonseca",NA,NA,"Jardim da Liberdade, Santarém, Alentejo, PT",NA,"i2_inaturalist_91"
"92",41.0794444444,-8.6475,NA,"Bombus terrestris lusitanicus",2022,3,7,"amanithor","amanithor",NA,NA,"4405-635 Vila Nova de Gaia, Portugal",NA,"i2_inaturalist_92"
"93",41.0794444444,-8.6475,NA,"Bombus terrestris lusitanicus",2022,3,7,"amanithor","amanithor",NA,NA,"4405-635 Vila Nova de Gaia, Portugal",NA,"i2_inaturalist_93"
"94",41.0797222222,-8.6475,NA,"Bombus terrestris lusitanicus",2022,3,7,"amanithor","amanithor",NA,NA,"4405-635 Vila Nova de Gaia, Portugal",NA,"i2_inaturalist_94"
"96",43.3049797847,-8.5063052551,NA,"Bombus terrestris lusitanicus",2022,2,19,"lorena_pardo","lorena_pardo",NA,NA,"Arteijo, La Coruña, España",4,"i2_inaturalist_96"
"98",40.6374151997,-8.6088806,NA,"Bombus terrestris",2022,3,7,"mhm43","mhm43",NA,NA,"3810-284 Aveiro, Portugal",NA,"i2_inaturalist_98"
"99",40.2093508433,-8.4272410013,NA,"Apis mellifera",2022,3,7,"malecadu","malecadu",NA,NA,"Rua da Boa Vista, Coimbra, Centro, PT",25,"i2_inaturalist_99"
"100",40.4429069722,-3.68567,NA,"Bombus terrestris",2022,3,2,"felipecastilla","felipecastilla",NA,NA,"El Viso, Madrid, España",NA,"i2_inaturalist_100"
"102",39.4959784,-8.80688462,NA,"Bombus terrestris",2022,3,7,"pbeja65","pbeja65",NA,NA,"São Bento, 2480, Portugal",3,"i2_inaturalist_102"
"103",41.23332,-8.5154583333,NA,"Bombus terrestris",2022,2,21,"a2022margaridaribeiro","a2022margaridaribeiro",NA,NA,"Alfena, Alfena, Norte, PT",4,"i2_inaturalist_103"
"104",40.7197007013,-8.0661877639,NA,"Bombus terrestris",2022,3,6,"carlosfmendes","carlosfmendes",NA,NA,"Vouzela, 3670, Portugal",50,"i2_inaturalist_104"
"106",38.7208033333,-9.1285611667,NA,"Bombus terrestris lusitanicus",2022,3,6,"schozas","schozas",NA,NA,"Páteo Sousa, Lisboa, Lisboa, PT",5,"i2_inaturalist_106"
"109",39.4551606358,-8.0708082878,NA,"Bombus terrestris lusitanicus",2022,3,6,"p_alves","p_alves",NA,NA,"2205 Concavada, Portugal",51,"i2_inaturalist_109"
"110",39.4551523518,-8.0707278215,NA,"Apis mellifera",2022,3,6,"p_alves","p_alves",NA,NA,"2205 Concavada, Portugal",47,"i2_inaturalist_110"
"111",43.3906433037,-4.4966180748,NA,"Apis mellifera",2022,3,6,"fernando481","fernando481",NA,NA,"Cantabria, España",302,"i2_inaturalist_111"
"112",39.4547509744,-8.0707401296,NA,"Apis mellifera",2022,3,5,"p_alves","p_alves",NA,NA,"2205 Concavada, Portugal",123,"i2_inaturalist_112"
"113",39.4571574626,-8.0718988439,NA,"Bombus ruderatus",2022,3,5,"p_alves","p_alves",NA,NA,"2205 Concavada, Portugal",158,"i2_inaturalist_113"
"118",39.1125488281,-9.3601884842,NA,"Apis mellifera",2022,3,6,"scrferreira","scrferreira",NA,NA,"Silveira",NA,"i2_inaturalist_118"
"119",38.8768445466,-6.9420947495,NA,"Bombus terrestris",2022,3,5,"jose_rasero","jose_rasero",NA,NA,"Badajoz, España",53,"i2_inaturalist_119"
"120",43.3236288734,-8.4381489179,NA,"Xylocopa violacea",2022,3,6,"lorena_pardo","lorena_pardo",NA,NA,"La Coruña, España",2,"i2_inaturalist_120"
"121",40.5894898997,-3.7002915,NA,"Bombus terrestris",2022,3,6,"mapi_gg","mapi_gg",NA,NA,"28760 Tres Cantos, Madrid, España",NA,"i2_inaturalist_121"
"125",38.0933927222,-7.9552904167,NA,"Xylocopa violacea",2022,2,28,"chicodesousa","chicodesousa",NA,NA,"Beja, 7800, Portugal",NA,"i2_inaturalist_125"
"126",37.2435188412,-6.2612327188,NA,"Apis mellifera",2022,2,27,"adremix","adremix",NA,NA,"Guadiamar.",31358,"i2_inaturalist_126"
"128",38.0987944444,-8.0380055556,NA,"Apis mellifera iberiensis",2022,3,5,"joaotiagotavares","joaotiagotavares",NA,NA,"Ferreira do Alentejo, 7900, Portugal",NA,"i2_inaturalist_128"
"131",38.0812166667,-8.1273305556,NA,"Eucera nigrilabris",2022,3,5,"joaotiagotavares","joaotiagotavares",NA,NA,"7900 Ferreira do Alentejo, Portugal",NA,"i2_inaturalist_131"
"133",40.8914389722,-8.4498519722,NA,"Apis mellifera iberiensis",2022,3,5,"rodolfoferreira","rodolfoferreira",NA,NA,"3700 Nogueira do Cravo, Portugal",NA,"i2_inaturalist_133"
"134",40.6376917997,-8.6086066997,NA,"Bombus terrestris lusitanicus",2022,3,5,"mhm43","mhm43",NA,NA,"Santa Joana, 3810, Portugal",NA,"i2_inaturalist_134"
"135",37.1769033333,-3.5921366667,NA,"Apis mellifera",2022,3,5,"aristotelis","aristotelis",NA,NA,"Palacios Nazaríes, Granada, Granada, ES",40,"i2_inaturalist_135"
"136",36.646736,-4.690367,NA,"Bombus ruderatus",2022,3,5,"josemanu64","josemanu64",NA,NA,"Málaga, España",NA,"i2_inaturalist_136"
"137",38.696496662,-9.3285942078,NA,"Eucera nigrilabris",2022,3,4,"froilano","froilano",NA,NA,"2780 Oeiras, Portugal",244,"i2_inaturalist_137"
"138",41.1441505456,-7.8129157797,NA,"Xylocopa violacea",2022,2,27,"raquelsaavedra","raquelsaavedra",NA,NA,"Six Senses Douro Valley",190,"i2_inaturalist_138"
"139",38.4171887514,-9.2149978863,NA,"Anthophora plumipes",2022,2,27,"tiagojrc","tiagojrc",NA,NA,"Sesimbra, Portugal",234,"i2_inaturalist_139"
"140",38.4171887514,-9.2149978863,NA,"Apis mellifera",2022,2,27,"tiagojrc","tiagojrc",NA,NA,"Sesimbra, Portugal",234,"i2_inaturalist_140"
"142",38.9620418295,-6.3094860524,NA,"Apis mellifera",2022,2,27,"perezrayego","perezrayego",NA,NA,"Badajoz, ES-EX, ES",4,"i2_inaturalist_142"
"143",38.6698280496,-9.1861819848,NA,"Xylocopa violacea",2022,3,4,"smoura","smoura",NA,NA,"2825-002 Monte de Caparica, Portugal",189,"i2_inaturalist_143"
"144",41.411301,-8.775237,NA,"Apis mellifera",2022,1,24,"dinis7","dinis7",NA,NA,"4490, Portugal",NA,"i2_inaturalist_144"
"145",41.0788888889,-8.6477777778,NA,"Bombus terrestris lusitanicus",2022,3,4,"amanithor","amanithor",NA,NA,"4405-664 Vila Nova de Gaia, Portugal",NA,"i2_inaturalist_145"
"146",38.8138768542,-6.2048921708,NA,"Apis mellifera",2022,2,27,"perezrayego","perezrayego",NA,NA,"Badajoz, ES-EX, ES",4,"i2_inaturalist_146"
"147",41.0786111111,-8.6475,NA,"Bombus vestalis",2022,3,4,"amanithor","amanithor",NA,NA,"4405-685 Vila Nova de Gaia, Portugal",NA,"i2_inaturalist_147"
"148",40.7113277778,-8.3442166667,NA,"Bombus pascuorum",2022,3,4,"jumak16","jumak16",NA,NA,"3740 Cedrim, Portugal",NA,"i2_inaturalist_148"
"149",38.7059402222,-9.1796398056,NA,"Xylocopa violacea",2022,3,4,"rmorgado","rmorgado",NA,NA,"Lisboa, PT-LI, PT",NA,"i2_inaturalist_149"
"152",39.1380283,-3.6970369,NA,"Xylocopa violacea",2022,2,28,"supergan","supergan",NA,NA,"Carr. a las Tablas de Daimiel, s/n, 13250 Daimiel, Cdad. Real, Spain",191,"i2_inaturalist_152"
"154",38.7090444444,-9.1692888889,NA,"Bombus terrestris lusitanicus",2022,2,28,"danielhartley","danielhartley",NA,NA,"Lisbon, Portugal",5,"i2_inaturalist_154"
"156",38.718218,-9.425964,NA,"Apis mellifera",2022,3,2,"mrtuga","mrtuga",NA,NA,"Escola Secundária de Alvide, Cascais",2,"i2_inaturalist_156"
"159",41.0788171262,-8.6471206695,NA,"Bombus terrestris lusitanicus",2022,3,2,"amanithor","amanithor",NA,NA,"4405-685 Vila Nova de Gaia, Portugal",1099,"i2_inaturalist_159"
"160",41.0785858748,-8.6471189931,NA,"Bombus terrestris lusitanicus",2022,3,2,"amanithor","amanithor",NA,NA,"4405-685 Vila Nova de Gaia, Portugal",1099,"i2_inaturalist_160"
"161",41.8216056822,-8.2959499358,NA,"Xylocopa violacea",2022,2,25,"ceciliabouman","ceciliabouman",NA,NA,"Entre Ambos-Os-Rios, 4980-020, Portugal",NA,"i2_inaturalist_161"
"163",38.4180018353,-9.2142396081,NA,"Bombus terrestris lusitanicus",2022,2,27,"tiagojrc","tiagojrc",NA,NA,"Cabo Espichel, Portugal",145,"i2_inaturalist_163"
"165",37.0407016401,-7.9153255537,NA,"Apis mellifera",2022,3,1,"duarte","duarte",NA,NA,"Faro, Faro, Portugal",3,"i2_inaturalist_165"
"167",37.6376899105,-7.6655760129,NA,"Apis mellifera",2022,1,6,"chicodesousa","chicodesousa",NA,NA,"7750 Mértola, Portugal",8,"i2_inaturalist_167"
"168",38.7924,-9.3882972222,NA,"Bombus terrestris",2022,3,2,"colinmeyer","colinmeyer",NA,NA,"Castelo de Sintra, 2710-405 Sintra, Portugal",NA,"i2_inaturalist_168"
"170",38.7554962997,-9.1568234,NA,"Bombus terrestris lusitanicus",2022,3,2,"tiagojrc","tiagojrc",NA,NA,"Lisboa, PT-LI, PT",NA,"i2_inaturalist_170"
"171",40.0681723891,-7.2133016036,NA,"Xylocopa violacea",2022,3,1,"sonia_goncalves","sonia_goncalves",NA,NA,"Penamacor, Portugal",150,"i2_inaturalist_171"
"172",40.0681887921,-7.2129153299,NA,"Apis mellifera",2022,2,28,"sonia_goncalves","sonia_goncalves",NA,NA,"Penamacor, Portugal",150,"i2_inaturalist_172"
"175",37.0940203155,-4.9608434737,NA,"Apis mellifera",2022,3,2,"jaraverde15","jaraverde15",NA,NA,"Martín de la Jara, 41658, Sevilla, España",159,"i2_inaturalist_175"
"176",41.158076221,-8.6291056126,NA,"Bombus pascuorum",2022,2,18,"andreiagomes_26","andreiagomes_26",NA,NA,"Porto",7140,"i2_inaturalist_176"
"177",40.2043826695,-8.4161061298,NA,"Apis mellifera",2022,3,2,"malecadu","malecadu",NA,NA,"Penedo da Saudade, Coimbra, Centro, PT",36,"i2_inaturalist_177"
"178",40.7133966667,-3.6012116667,NA,"Apis mellifera",2022,2,27,"angel_fernandez_cancio","angel_fernandez_cancio",NA,NA,"Sn Agustín de Guadalix, Madrid, España",NA,"i2_inaturalist_178"
"179",37.9591364455,-7.2943900681,NA,"Apis mellifera",2022,3,1,"rfmc","rfmc",NA,NA,"7830 Vila Verde de Ficalho, Portugal",4533,"i2_inaturalist_179"
"180",41.1547621404,-8.6381496431,NA,"Bombus pascuorum",2015,7,25,"ambterra","ambterra",NA,NA,"Arrábida, Porto, Portugal",1006,"i2_inaturalist_180"
"183",39.8371782087,-8.3112137622,NA,"Bombus pascuorum",2022,3,1,"paulomartins","paulomartins",NA,NA,"Figueiró dos Vinhos, 3260, Portugal",4,"i2_inaturalist_183"
"184",39.8374212931,-8.310693145,NA,"Bombus terrestris",2022,3,1,"paulomartins","paulomartins",NA,NA,"Figueiró dos Vinhos, 3260, Portugal",4,"i2_inaturalist_184"
"185",39.9991309722,-8.428475,NA,"Bombus terrestris lusitanicus",2022,3,1,"rodolfoferreira","rodolfoferreira",NA,NA,"Soure, 3130, Portugal",NA,"i2_inaturalist_185"
"186",41.2314509989,-8.6909934826,NA,"Bombus pascuorum",2022,3,1,"luisfssantos","luisfssantos",NA,NA,"4455 Perafita, Portugal",43,"i2_inaturalist_186"
"188",38.7034405897,-9.2410311475,NA,"Apis mellifera",2022,3,1,"rafaela_mendes","rafaela_mendes",NA,NA,"2795-235 Linda-a-Velha, Portugal",7,"i2_inaturalist_188"
"189",38.765610479,-9.2640491771,NA,"Bombus terrestris lusitanicus",2020,4,26,"cyberoceans","cyberoceans",NA,NA,"Belas, Portugal",3267,"i2_inaturalist_189"
"191",37.1045194444,-7.7761555556,NA,"Apis mellifera iberiensis",2022,2,27,"joaotiagotavares","joaotiagotavares",NA,NA,"8700 Moncarapacho, Portugal",NA,"i2_inaturalist_191"
"192",37.1038111111,-7.7757388889,NA,"Anthophora plumipes",2022,2,27,"joaotiagotavares","joaotiagotavares",NA,NA,"8700 Moncarapacho, Portugal",NA,"i2_inaturalist_192"
"194",41.0789270651,-8.647226952,NA,"Bombus terrestris lusitanicus",2022,3,1,"amanithor","amanithor",NA,NA,"4405-685 Vila Nova de Gaia, Portugal",1104,"i2_inaturalist_194"
"195",41.0786111111,-8.6472222222,NA,"Bombus pascuorum",2022,3,1,"amanithor","amanithor",NA,NA,"4405-685 Vila Nova de Gaia, Portugal",NA,"i2_inaturalist_195"
"198",38.742694,-9.125952,NA,"Apis mellifera",2022,3,1,"maremimar","maremimar",NA,NA,"Parque Urbano Vale da Montanha, Lisboa",25,"i2_inaturalist_198"
"199",38.579955,-9.195535,NA,"Xylocopa cantabrita",2022,3,1,"jvitor","jvitor",NA,NA,"Almada, Portugal",NA,"i2_inaturalist_199"
"200",41.2313481713,-8.5080884702,NA,"Bombus terrestris",2022,2,21,"a2022ritaloureiro","a2022ritaloureiro",NA,NA,"Valongo, Portugal",984,"i2_inaturalist_200"
"201",39.3257959,-7.414553,NA,"Xylocopa violacea",2019,6,12,"cyberoceans","cyberoceans",NA,NA,"7300-126 Ribeira de Nisa, Portugal",1678,"i2_inaturalist_201"
"202",40.6621933632,-7.9461069033,NA,"Anthophora plumipes",2022,3,1,"susana_simoes","susana_simoes",NA,NA,"Orgens, 3510 Viseu, Portugal",9,"i2_inaturalist_202"
"203",40.6627116828,-7.9459701106,NA,"Bombus vestalis",2022,3,1,"susana_simoes","susana_simoes",NA,NA,"Orgens, 3510 Viseu, Portugal",7,"i2_inaturalist_203"
"205",39.3257959,-7.414553,NA,"Apis mellifera iberiensis",2021,10,1,"cyberoceans","cyberoceans",NA,NA,"7300-126 Ribeira de Nisa, Portugal",1678,"i2_inaturalist_205"
"206",38.63597,-9.1525049722,NA,"Bombus terrestris lusitanicus",2022,3,1,"tiagojrc","tiagojrc",NA,NA,"Corroios, 2855-097 Corroios, Portugal",NA,"i2_inaturalist_206"
"208",36.6628165522,-6.1191361679,NA,"Apis mellifera iberiensis",2022,3,1,"b3ugaz","b3ugaz",NA,NA,"Cádiz, España",4,"i2_inaturalist_208"
"209",40.7103333333,-3.6093116667,NA,"Apis mellifera",2022,2,27,"angel_fernandez_cancio","angel_fernandez_cancio",NA,NA,"San Agustín de Guadalix, Madrid, España",NA,"i2_inaturalist_209"
"210",38.8814367589,-6.9941258379,NA,"Xylocopa violacea",2022,2,28,"fhernandez1512","fhernandez1512",NA,NA,"Calle de Antonio de Nebrija, Badajoz, Badajoz, ES",34,"i2_inaturalist_210"
"211",41.0788929462,-8.6474069953,NA,"Apis mellifera iberiensis",2022,2,28,"amanithor","amanithor",NA,NA,"4405-685 Vila Nova de Gaia, Portugal",1104,"i2_inaturalist_211"
"212",41.0783301074,-8.6469195038,NA,"Bombus pascuorum",2022,2,28,"amanithor","amanithor",NA,NA,"4405-685 Vila Nova de Gaia, Portugal",1104,"i2_inaturalist_212"
"213",39.62632825,-8.6709169167,NA,"Bombus terrestris lusitanicus",2021,4,20,"chicodesousa","chicodesousa",NA,NA,"2495 Fátima, Portugal",NA,"i2_inaturalist_213"
"215",38.71634,-9.424092,NA,"Apis mellifera",2022,2,28,"rmsantosp","rmsantosp",NA,NA,"Rua das Padarias, Alvide",NA,"i2_inaturalist_215"
"217",40.5046347405,-3.3756593426,NA,"Bombus vestalis",2021,12,9,"gabrielbz","gabrielbz",NA,NA,"Madrid, España",122,"i2_inaturalist_217"
"219",40.201167093,-8.4245006298,NA,"Apis mellifera",2022,2,28,"malecadu","malecadu",NA,NA,"Parque Verde do Mondego, Coimbra, Centro, PT",698,"i2_inaturalist_219"
"220",38.7022194444,-9.1964305556,NA,"Bombus terrestris lusitanicus",2022,2,28,"hcserrano","hcserrano",NA,NA,"1300-210 Lisbon, Portugal",NA,"i2_inaturalist_220"
"221",37.8880414373,-4.7610455316,NA,"Xylocopa violacea",2022,2,28,"sofi_ol","sofi_ol",NA,NA,"Cementerio de San Rafael, Córdoba, Córdoba, ES",26,"i2_inaturalist_221"
"222",40.4075009181,-3.6985912174,NA,"Xylocopa violacea",2022,2,28,"cientovolando","cientovolando",NA,NA,"Lavapiés, 28012 Madrid, España",8,"i2_inaturalist_222"
"224",43.3574867775,-5.8449400575,NA,"Apis mellifera",2022,2,26,"mamiranda10","mamiranda10",NA,NA,"Oviedo, Asturias, España",188,"i2_inaturalist_224"
"225",40.5495338333,-3.2571170278,NA,"Xylocopa violacea",2022,2,24,"jesus676","jesus676",NA,NA,"Azuqueca de Henares, 19200, Guadalajara, España",NA,"i2_inaturalist_225"
"231",40.5658655082,-3.6333704113,NA,"Apis mellifera",2022,2,27,"javiersanse","javiersanse",NA,NA,"Madrid, España",61,"i2_inaturalist_231"
"232",40.5637423768,-3.6375570635,NA,"Apis mellifera",2022,2,27,"sanse_alnatural","sanse_alnatural",NA,NA,"Madrid, España",8,"i2_inaturalist_232"
"233",40.9003562925,-8.2681741714,NA,"Bombus vestalis",2022,2,27,"susanabastos","susanabastos",NA,NA,"Santa Eulália, 4540, Portugal",NA,"i2_inaturalist_233"
"234",38.79795,-9.399514,NA,"Bombus terrestris",2022,2,27,"maremimar","maremimar",NA,NA,"Casa do Fauno, Sintra",NA,"i2_inaturalist_234"
"235",38.71439167,-9.27373167,NA,"Apis mellifera",2022,2,26,"tmfneves","tmfneves",NA,NA,"Oeiras, Lisboa, Portugal",NA,"i2_inaturalist_235"
"236",39.402875811,-8.4924262832,NA,"Xylocopa violacea",2022,2,12,"josueamoroso","josueamoroso",NA,NA,"Rua da Palmeira, Golegã, Alentejo, PT",22,"i2_inaturalist_236"
"237",39.2310943603,-9.0759429931,NA,"Apis mellifera",2022,2,27,"paulovascomarques","paulovascomarques",NA,NA,"Lamas e Cercal, 2550, Portugal",NA,"i2_inaturalist_237"
"238",37.0595388889,-7.8709694444,NA,"Apis mellifera",2022,2,20,"joaotiagotavares","joaotiagotavares",NA,NA,"Olhão, Portugal",NA,"i2_inaturalist_238"
"239",37.0597611111,-7.8708944444,NA,"Eucera nigrilabris",2022,2,20,"joaotiagotavares","joaotiagotavares",NA,NA,"Olhão, Portugal",NA,"i2_inaturalist_239"
