"","species","decimalLatitude","decimalLongitude","family","year","month","day","recordedBy","identifiedBy","sex","stateProvince","locality","coordinatePrecision","uid"
"37","Xylocopa violacea",41.519898,1.65168,"Apidae",2021,1,28,"Cristobal Jimenez","Cristobal Jimenez","MALE","Cataluña",NA,NA,"55_Gbif_36"
"38","Apis mellifera",36.810159,-2.615035,"Apidae",2021,1,20,"Alberto J. Urea Ramos","Alberto J. Urea Ramos",NA,"Andalucía",NA,NA,"55_Gbif_37"
"39","Xylocopa violacea",41.503717,2.086401,"Apidae",2021,1,24,"Isa Manclus","Karim Strohriegl","MALE","Cataluña",NA,NA,"55_Gbif_38"
"40","Apis mellifera",41.834191,-0.865782,"Apidae",2021,1,11,"javisahun","javisahun",NA,"Aragón",NA,NA,"55_Gbif_39"
"41","Apis mellifera",37.532893,-6.148481,"Apidae",2021,1,16,"José Ignacio Márquez Corro","José Ignacio Márquez Corro",NA,"Andalucía",NA,NA,"55_Gbif_40"
"42","Apis mellifera",37.023961,-4.546847,"Apidae",2021,1,16,"Susanne Vogel","Susanne Vogel",NA,"Andalucía",NA,NA,"55_Gbif_41"
"43","Bombus terrestris",41.528381,1.641302,"Apidae",2021,1,26,"Cristobal Jimenez","Cristobal Jimenez",NA,"Cataluña",NA,NA,"55_Gbif_42"
"44","Apis mellifera",39.457366,-0.378874,"Apidae",2021,1,15,"Manuela","Florian Mongin","FEMALE","Comunidad Valenciana",NA,NA,"55_Gbif_43"
"45","Apis mellifera",41.405926,2.184402,"Apidae",2021,1,31,"avellanes","Susanna Heideman",NA,"Cataluña",NA,NA,"55_Gbif_44"
"46","Apis mellifera",42.756365,-2.925381,"Apidae",2021,1,24,"garnikaisabel","garnikaisabel",NA,"País Vasco",NA,NA,"55_Gbif_45"
"47","Apis mellifera",42.470506,-2.461496,"Apidae",2021,1,31,"José Antonio León Mangado","José Antonio León Mangado",NA,"La Rioja",NA,NA,"55_Gbif_46"
"48","Apis mellifera",37.396919,-6.002278,"Apidae",2021,1,31,"Víctor González García","Víctor González García",NA,"Andalucía",NA,NA,"55_Gbif_47"
"49","Bombus terrestris",43.355462,-5.08017,"Apidae",2021,1,8,"Miguel A. Casado","Joan Díaz Calafat","FEMALE","Principado de Asturias",NA,NA,"55_Gbif_48"
"50","Apis mellifera",40.676997,-3.737752,"Apidae",2021,1,14,"ARSENIO GONZALEZ NAVARRO","ARSENIO GONZALEZ NAVARRO",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_49"
"51","Xylocopa violacea",36.414452,-5.16015,"Apidae",2021,1,15,"1129633969",NA,NA,NA,"UTM25_30S_0300_4025",NA,"55_Gbif_50"
"52","Apis mellifera",39.463395,-0.51721,"Apidae",2021,2,9,"Luis Orlando","Luis Orlando",NA,"Comunidad Valenciana",NA,NA,"55_Gbif_51"
"53","Bombus pascuorum",41.523506,1.651664,"Apidae",2021,2,11,"Cristobal Jimenez","Rafael",NA,"Cataluña",NA,NA,"55_Gbif_52"
"54","Bombus pratorum",42.136765,2.177368,"Apidae",2021,2,2,"Alba","John Ascher","FEMALE","Cataluña",NA,NA,"55_Gbif_53"
"55","Anthophora plumipes",42.048402,2.034247,"Apidae",2021,2,5,"jordi_compte","jordi_compte","MALE","Cataluña",NA,NA,"55_Gbif_54"
"56","Xylocopa violacea",41.519865,1.652682,"Apidae",2021,2,3,"Cristobal Jimenez","Cristobal Jimenez","MALE","Cataluña",NA,NA,"55_Gbif_55"
"57","Apis mellifera",36.581074,-4.59722,"Apidae",2021,2,1,"djhird","djhird",NA,"Andalucía",NA,NA,"55_Gbif_56"
"58","Apis mellifera",41.490259,1.956545,"Apidae",2021,2,2,"Jose-Antonio Ortiz-Marzo","Jose-Antonio Ortiz-Marzo",NA,"Cataluña",NA,NA,"55_Gbif_57"
"59","Apis mellifera",39.463207,-0.517063,"Apidae",2021,2,8,"Luis Orlando","Luis Orlando",NA,"Comunidad Valenciana",NA,NA,"55_Gbif_58"
"60","Xylocopa violacea",40.156218,-5.06826,"Apidae",2021,2,15,"antoniorico","Trevor Sless","MALE","Castilla y León",NA,NA,"55_Gbif_59"
"61","Apis mellifera",36.137959,-5.462091,"Apidae",2021,2,13,"whodden","whodden",NA,"Andalucía",NA,NA,"55_Gbif_60"
"62","Nomada agrestis",38.035427,-1.139868,"Apidae",2021,2,15,"Chema Catarineu","Chema Catarineu","FEMALE","Región de Murcia",NA,NA,"55_Gbif_61"
"63","Xylocopa violacea",41.420132,2.175785,"Apidae",2021,2,13,"crisbiete","crisbiete","MALE","Cataluña",NA,NA,"55_Gbif_62"
"64","Xylocopa violacea",41.62453,-1.295268,"Apidae",2021,2,16,"Arantxa Mendoza","Arantxa Mendoza",NA,"Aragón",NA,NA,"55_Gbif_63"
"65","Apis mellifera",40.151296,-5.115495,"Apidae",2021,2,20,"antoniorico","Trevor Sless",NA,"Castilla y León",NA,NA,"55_Gbif_64"
"66","Apis mellifera",37.017415,-4.553498,"Apidae",2021,2,25,"Susanne Vogel","José Costa","FEMALE","Andalucía",NA,NA,"55_Gbif_65"
"67","Eucera nigrilabris",41.54274,1.633553,"Apidae",2021,2,17,"Cristobal Jimenez","Angel M. Moreno","MALE","Cataluña",NA,NA,"55_Gbif_66"
"68","Xylocopa violacea",41.356977,1.966915,"Apidae",2021,2,18,"neuspip","neuspip","MALE","Cataluña",NA,NA,"55_Gbif_67"
"69","Xylocopa violacea",41.562726,2.023316,"Apidae",2021,2,13,"Jose-Antonio Ortiz-Marzo","José Costa",NA,"Cataluña",NA,NA,"55_Gbif_68"
"70","Apis mellifera",40.587094,-3.703053,"Apidae",2021,2,20,"rafac","Trevor Sless",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_69"
"71","Apis mellifera",41.793553,1.633213,"Apidae",2021,2,17,"peresol","John Ascher",NA,"Cataluña",NA,NA,"55_Gbif_70"
"72","Xylocopa violacea",40.652418,-3.784167,"Apidae",2021,2,19,"Ricardo Rodero Henández","Ricardo Rodero Henández","MALE","Comunidad de Madrid",NA,NA,"55_Gbif_71"
"73","Apis mellifera",41.366968,2.152605,"Apidae",2021,2,20,"sbrnmnndz","John Ascher",NA,"Cataluña",NA,NA,"55_Gbif_72"
"74","Bombus terrestris",41.562728,2.023316,"Apidae",2021,2,23,"Jose-Antonio Ortiz-Marzo","Jose-Antonio Ortiz-Marzo","FEMALE","Cataluña",NA,NA,"55_Gbif_73"
"75","Bombus terrestris",40.66703,-3.763588,"Apidae",2021,2,13,"Angel","Angel",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_74"
"76","Apis mellifera",40.412253,-3.692366,"Apidae",2021,2,13,"deinonyco","deinonyco",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_75"
"77","Apis mellifera",39.477983,-0.386065,"Apidae",2021,2,13,"Luis Orlando","Luis Orlando",NA,"Comunidad Valenciana",NA,NA,"55_Gbif_76"
"78","Bombus pratorum",42.122715,2.214188,"Apidae",2021,2,18,"Alba","Alba",NA,"Cataluña",NA,NA,"55_Gbif_77"
"79","Apis mellifera",40.58711,-3.702688,"Apidae",2021,2,20,"rafac","Susanna Heideman",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_78"
"80","Apis mellifera",40.636987,-3.838978,"Apidae",2021,2,20,"Eduardo Ramirez Esteban","Eduardo Ramirez Esteban",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_79"
"81","Xylocopa violacea",40.172715,-5.331412,"Apidae",2021,2,14,"keith681","keith681",NA,"Castilla y León",NA,NA,"55_Gbif_80"
"82","Apis mellifera",40.652418,-3.784167,"Apidae",2021,2,19,"Ricardo Rodero Henández","Ricardo Rodero Henández","FEMALE","Comunidad de Madrid",NA,NA,"55_Gbif_81"
"83","Xylocopa violacea",40.652418,-3.784167,"Apidae",2021,2,19,"Ricardo Rodero Henández","Ricardo Rodero Henández","MALE","Comunidad de Madrid",NA,NA,"55_Gbif_82"
"84","Apis mellifera",40.587241,-3.702259,"Apidae",2021,2,19,"rafac","Trevor Sless",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_83"
"85","Apis mellifera",41.540736,1.635793,"Apidae",2021,2,16,"Cristobal Jimenez","Cristobal Jimenez","FEMALE","Cataluña",NA,NA,"55_Gbif_84"
"86","Xylocopa violacea",39.477983,-0.386065,"Apidae",2021,2,13,"Luis Orlando","Luis Orlando","MALE","Comunidad Valenciana",NA,NA,"55_Gbif_85"
"87","Apis mellifera",40.14958,-5.11864,"Apidae",2021,2,20,"antoniorico","antoniorico",NA,"Castilla y León",NA,NA,"55_Gbif_86"
"88","Bombus terrestris",41.64257,2.707815,"Apidae",2021,2,24,"jorditb","jorditb","FEMALE","Cataluña",NA,NA,"55_Gbif_87"
"89","Xylocopa violacea",37.011736,-4.555382,"Apidae",2021,2,16,"Susanne Vogel","Susanne Vogel","MALE","Andalucía",NA,NA,"55_Gbif_88"
"90","Xylocopa violacea",37.292701,-5.931458,"Apidae",2021,2,17,"Santiago Martín-Bravo","Santiago Martín-Bravo","MALE","Andalucía",NA,NA,"55_Gbif_89"
"91","Xylocopa violacea",42.048623,2.034086,"Apidae",2021,2,25,"jordi_compte","jordi_compte","MALE","Cataluña",NA,NA,"55_Gbif_90"
"92","Apis mellifera",38.372241,-0.499277,"Apidae",2021,2,22,"isma4el","Trevor Sless",NA,"Comunidad Valenciana",NA,NA,"55_Gbif_91"
"93","Bombus terrestris",40.593752,-3.724011,"Apidae",2021,2,28,"rafac","rafac",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_92"
"94","Bombus terrestris",43.459273,-7.825563,"Apidae",2021,2,27,"Chukos","Chukos",NA,"Galicia",NA,NA,"55_Gbif_93"
"95","Nomada succincta",38.035517,-1.139605,"Apidae",2021,2,16,"Chema Catarineu","Chema Catarineu","FEMALE","Región de Murcia",NA,NA,"55_Gbif_94"
"96","Bombus terrestris",41.276283,1.974331,"Apidae",2021,2,20,"Josep Mª Albesa Gasulla","Josep Mª Albesa Gasulla",NA,"Cataluña",NA,NA,"55_Gbif_95"
"97","Apis mellifera",40.754613,-2.616305,"Apidae",2021,2,27,"solrac82","José Costa","FEMALE","Castilla-La Mancha",NA,NA,"55_Gbif_96"
"98","Xylocopa violacea",37.356902,-5.941199,"Apidae",2021,2,11,"Víctor González García","Víctor González García",NA,"Andalucía",NA,NA,"55_Gbif_97"
"99","Xylocopa violacea",37.356951,-5.940382,"Apidae",2021,2,11,"Víctor González García","Víctor González García",NA,"Andalucía",NA,NA,"55_Gbif_98"
"100","Apis mellifera",41.570368,-1.060522,"Apidae",2021,2,20,"Javier Patiño Loira","Javier Patiño Loira",NA,"Aragón",NA,NA,"55_Gbif_99"
"101","Xylocopa violacea",41.570307,-1.060503,"Apidae",2021,2,26,"Javier Patiño Loira","Javier Patiño Loira","MALE","Aragón",NA,NA,"55_Gbif_100"
"104","Xylocopa violacea",36.662862,-6.118809,"Apidae",2021,2,27,"b3ugaz","b3ugaz",NA,"Andalucía",NA,NA,"55_Gbif_103"
"105","Apis mellifera",41.276233,1.974251,"Apidae",2021,3,6,"Josep Mª Albesa Gasulla","Josep Mª Albesa Gasulla",NA,"Cataluña",NA,NA,"55_Gbif_104"
"106","Apis mellifera",40.653238,-3.754,"Apidae",2021,3,5,"Eduardo Ramirez Esteban","Eduardo Ramirez Esteban",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_105"
"107","Apis mellifera",40.44398,-3.459189,"Apidae",2021,3,9,"ARBA del Henares","ARBA del Henares",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_106"
"108","Xylocopa violacea",40.420211,-3.48454,"Apidae",2021,3,6,"cris-arba15","John Ascher",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_107"
"109","Apis mellifera",40.678935,-3.769307,"Apidae",2021,3,7,"ARSENIO GONZALEZ NAVARRO","ARSENIO GONZALEZ NAVARRO","FEMALE","Comunidad de Madrid",NA,NA,"55_Gbif_108"
"110","Bombus terrestris",37.022682,-3.475801,"Apidae",2021,3,7,"aggranada","aggranada",NA,"Andalucía",NA,NA,"55_Gbif_109"
"111","Bombus terrestris",41.444255,2.134972,"Apidae",2021,3,7,"fiedya","fiedya","MALE","Cataluña",NA,NA,"55_Gbif_110"
"112","Xylocopa violacea",36.67421,-4.461882,"Apidae",2021,3,2,"Daniel Capilla","John Ascher",NA,"Andalucía",NA,NA,"55_Gbif_111"
"113","Apis mellifera",39.463468,-0.517688,"Apidae",2021,3,8,"Luis Orlando","Luis Orlando",NA,"Comunidad Valenciana",NA,NA,"55_Gbif_112"
"114","Apis mellifera",41.556614,2.157762,"Apidae",2021,3,5,"Blanca",NA,NA,"Cataluña",NA,NA,"55_Gbif_113"
"115","Apis mellifera",42.88322,-8.555029,"Apidae",2021,3,6,"Álvaro Pérez Pérez","Álvaro Pérez Pérez",NA,"Galicia",NA,NA,"55_Gbif_114"
"116","Bombus terrestris",43.136149,-2.050027,"Apidae",2021,3,2,"eneko_barriola","eneko_barriola",NA,"País Vasco",NA,NA,"55_Gbif_115"
"117","Apis mellifera",41.354153,1.975623,"Apidae",2021,3,4,"neuspip","Trevor Sless",NA,"Cataluña",NA,NA,"55_Gbif_116"
"118","Xylocopa violacea",37.404111,-5.993506,"Apidae",2021,3,10,"David Aragonés Borrego","David Aragonés Borrego",NA,"Andalucía",NA,NA,"55_Gbif_117"
"119","Apis mellifera",37.015027,-4.56866,"Apidae",2021,3,6,"Susanne Vogel","Susanne Vogel",NA,"Andalucía",NA,NA,"55_Gbif_118"
"120","Bombus pascuorum",41.354227,1.975665,"Apidae",2021,3,4,"neuspip","neuspip",NA,"Cataluña",NA,NA,"55_Gbif_119"
"121","Xylocopa violacea",42.0834,2.881847,"Apidae",2021,3,10,"albertmola","albertmola",NA,"Cataluña",NA,NA,"55_Gbif_120"
"122","Bombus hortorum",43.393294,-5.821649,"Apidae",2021,3,10,"lizard--o_o","NABU Nordvorpommern",NA,"Principado de Asturias",NA,NA,"55_Gbif_121"
"123","Bombus terrestris",42.107387,2.97089,"Apidae",2021,3,6,"lkrauel","lkrauel",NA,"Cataluña",NA,NA,"55_Gbif_122"
"124","Bombus terrestris",41.524968,2.0449,"Apidae",2021,3,6,"javixu","javixu",NA,"Cataluña",NA,NA,"55_Gbif_123"
"125","Apis mellifera",37.524292,-5.395632,"Apidae",2021,3,12,"Antonio Manuel","Antonio Manuel",NA,"Andalucía",NA,NA,"55_Gbif_124"
"126","Apis mellifera",41.338681,2.094606,"Apidae",2021,3,14,"marcdomenech","Joan Díaz Calafat","FEMALE","Cataluña",NA,NA,"55_Gbif_125"
"127","Apis mellifera",40.150244,-3.564497,"Apidae",2021,3,13,"deinonyco","Trevor Sless",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_126"
"128","Xylocopa violacea",36.301483,-5.314028,"Apidae",2021,3,16,"Marco","Joan Díaz Calafat",NA,"Andalucía",NA,NA,"55_Gbif_127"
"129","Apis mellifera",37.604605,-0.731737,"Apidae",2021,3,13,"Adri","Adri",NA,"Región de Murcia",NA,NA,"55_Gbif_128"
"130","Bombus terrestris",42.268367,3.051095,"Apidae",2021,3,10,"Jofre","Joan Díaz Calafat",NA,"Cataluña",NA,NA,"55_Gbif_129"
"131","Apis mellifera",42.336701,3.206926,"Apidae",2021,3,13,"mammal","José Costa",NA,"Cataluña",NA,NA,"55_Gbif_130"
"132","Apis mellifera",41.635581,2.699237,"Apidae",2021,3,13,"ant-toniscla","ant-toniscla",NA,"Cataluña",NA,NA,"55_Gbif_131"
"133","Bombus terrestris",43.107739,-1.90203,"Apidae",2021,3,13,"javi","NABU Nordvorpommern",NA,"Comunidad Foral de Navarra",NA,NA,"55_Gbif_132"
"134","Bombus pascuorum",43.13437,-2.052355,"Apidae",2021,3,18,"eneko_barriola","eneko_barriola",NA,"País Vasco",NA,NA,"55_Gbif_133"
"135","Apis mellifera",41.681903,2.055345,"Apidae",2021,3,20,"carlesal","John Ascher",NA,"Cataluña",NA,NA,"55_Gbif_134"
"136","Bombus terrestris",39.565958,2.612933,"Apidae",2021,3,20,"Joshua Borràs","Joshua Borràs",NA,"Islas Baleares",NA,NA,"55_Gbif_135"
"137","Apis mellifera",38.85168,-6.915971,"Apidae",2021,3,13,"jose_rasero","Hauke Koch",NA,"Extremadura",NA,NA,"55_Gbif_136"
"138","Apis mellifera",40.66703,-3.763588,"Apidae",2021,3,7,"Angel","John Ascher",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_137"
"139","Apis mellifera",36.691688,-6.405665,"Apidae",2021,3,12,"ARSENIO GONZALEZ NAVARRO","ARSENIO GONZALEZ NAVARRO",NA,"Andalucía",NA,NA,"55_Gbif_138"
"140","Bombus terrestris",40.66703,-3.763588,"Apidae",2021,3,7,"Angel","Angel",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_139"
"141","Apis mellifera",39.501058,-0.471218,"Apidae",2021,3,23,"Luis Orlando","Luis Orlando",NA,"Comunidad Valenciana",NA,NA,"55_Gbif_140"
"142","Bombus terrestris",42.10676,2.971821,"Apidae",2021,3,16,"mammal","pacoaguayo",NA,"Cataluña",NA,NA,"55_Gbif_141"
"143","Apis mellifera",40.66703,-3.763588,"Apidae",2021,3,12,"Angel","Angel",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_142"
"144","Apis mellifera",41.011108,-3.446943,"Apidae",2021,3,27,"Felipe Castilla Lattke","Felipe Castilla Lattke",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_143"
"145","Apis mellifera",39.704432,-0.464957,"Apidae",2021,3,28,"Luis Orlando","Luis Orlando","FEMALE","Comunidad Valenciana",NA,NA,"55_Gbif_144"
"146","Apis mellifera",37.580561,-1.242526,"Apidae",2021,3,26,"Gabor Balazs","Trevor Sless",NA,"Región de Murcia",NA,NA,"55_Gbif_145"
"147","Apis mellifera",39.830922,-5.511468,"Apidae",2021,3,22,"ARSENIO GONZALEZ NAVARRO","ARSENIO GONZALEZ NAVARRO",NA,"Extremadura",NA,NA,"55_Gbif_146"
"149","Apis mellifera",37.907654,-4.854938,"Apidae",2021,3,27,"Dan","Mercedes Sánchez Cabrera",NA,"Andalucía",NA,NA,"55_Gbif_148"
"150","Apis mellifera",37.594242,-1.181104,"Apidae",2021,3,28,"Gabor Balazs","Gabor Balazs",NA,"Región de Murcia",NA,NA,"55_Gbif_149"
"151","Bombus pascuorum",41.979481,2.821426,"Apidae",2021,3,25,"Maria Azedo","Maria Azedo",NA,"Cataluña",NA,NA,"55_Gbif_150"
"152","Anthophora leucophaea",38.035665,-1.139648,"Apidae",2021,3,21,"Chema Catarineu","Chema Catarineu","FEMALE","Región de Murcia",NA,NA,"55_Gbif_151"
"153","Apis mellifera",41.425624,1.850659,"Apidae",2021,3,28,"Blanca","Mercedes Sánchez Cabrera","FEMALE","Cataluña",NA,NA,"55_Gbif_152"
"154","Bombus terrestris",42.339928,-4.275755,"Apidae",2021,3,28,"Cesar Pollo","Cesar Pollo",NA,"Castilla y León",NA,NA,"55_Gbif_153"
"155","Xylocopa violacea",41.061075,-3.5274,"Apidae",2021,3,5,"Pablo de la Fuente Brun","Trevor Sless",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_154"
"156","Apis mellifera",41.409775,2.15392,"Apidae",2021,3,27,"tnaturalist","Joan Díaz Calafat",NA,"Cataluña",NA,NA,"55_Gbif_155"
"157","Eucera notata",36.778074,-3.113068,"Apidae",2021,3,27,"faluke","faluke","MALE","Andalucía",NA,NA,"55_Gbif_156"
"158","Apis mellifera",39.467518,-0.518287,"Apidae",2021,3,26,"Luis Orlando","Luis Orlando",NA,"Comunidad Valenciana",NA,NA,"55_Gbif_157"
"159","Xylocopa violacea",39.551952,2.973782,"Apidae",2021,3,27,"mgm7","mgm7","MALE","Islas Baleares",NA,NA,"55_Gbif_158"
"160","Bombus pascuorum",42.861926,-2.638749,"Apidae",2021,3,28,"garnikaisabel","garnikaisabel","FEMALE","País Vasco",NA,NA,"55_Gbif_159"
"161","Anthophora plumipes",42.861902,-2.638726,"Apidae",2021,3,28,"garnikaisabel","garnikaisabel","MALE","País Vasco",NA,NA,"55_Gbif_160"
"162","Nomada succincta",37.196954,-3.619142,"Apidae",2021,3,26,"aggranada","Joan Díaz Calafat",NA,"Andalucía",NA,NA,"55_Gbif_161"
"163","Xylocopa violacea",41.062887,-3.528953,"Apidae",2021,3,26,"Mario Vega Pérez","Mario Vega Pérez","MALE","Comunidad de Madrid",NA,NA,"55_Gbif_162"
"164","Bombus ruderatus",41.671143,2.753596,"Apidae",2021,3,27,"sandeivid","NABU Nordvorpommern",NA,"Cataluña",NA,NA,"55_Gbif_163"
"165","Bombus hortorum",41.53953,1.87137,"Apidae",2021,3,27,"icosaedre","NABU Nordvorpommern",NA,"Cataluña",NA,NA,"55_Gbif_164"
"166","Bombus terrestris",43.27962,-8.306936,"Apidae",2021,3,14,"Manu Cernadas","Manu Cernadas",NA,"Galicia",NA,NA,"55_Gbif_165"
"167","Bombus pascuorum",42.784972,-1.679423,"Apidae",2021,3,17,"garcia_munoz_ricardo","garcia_munoz_ricardo",NA,"Comunidad Foral de Navarra",NA,NA,"55_Gbif_166"
"168","Apis mellifera",42.470786,-2.462046,"Apidae",2021,3,22,"José Antonio León Mangado","José Antonio León Mangado",NA,"La Rioja",NA,NA,"55_Gbif_167"
"170","Xylocopa violacea",41.863287,2.694626,"Apidae",2021,3,27,"sergiCR","sergiCR","FEMALE","Cataluña",NA,NA,"55_Gbif_169"
"171","Xylocopa violacea",37.356139,-5.942838,"Apidae",2021,3,14,"Víctor González García","Víctor González García",NA,"Andalucía",NA,NA,"55_Gbif_170"
"172","Xylocopa violacea",37.356142,-5.942791,"Apidae",2021,3,14,"Víctor González García","Víctor González García",NA,"Andalucía",NA,NA,"55_Gbif_171"
"173","Apis mellifera",40.593077,-3.702354,"Apidae",2021,3,26,"Felipe Castilla Lattke","Felipe Castilla Lattke",NA,"Comunidad de Madrid",NA,NA,"55_Gbif_172"
"174","Apis mellifera",41.563486,2.193545,"Apidae",2021,3,14,"Nico Hernandez","Nico Hernandez",NA,"Cataluña",NA,NA,"55_Gbif_173"
"175","Xylocopa violacea",36.748386,-4.052793,"Apidae",2021,3,1,"Andrés Gustavo Jacquat","Andrés Gustavo Jacquat",NA,"Andalucía",NA,NA,"55_Gbif_174"
"176","Xylocopa violacea",40.66703,-3.763588,"Apidae",2021,3,23,"Angel","Angel","MALE","Comunidad de Madrid",NA,NA,"55_Gbif_175"
"177","Apis mellifera",41.690736,2.165395,"Apidae",2021,3,26,"LaiaGuàrdia","LaiaGuàrdia",NA,"Cataluña",NA,NA,"55_Gbif_176"
"178","Anthophora bimaculata",36.828559,-2.585906,"Apidae",2021,3,28,"faluke","faluke",NA,"Andalucía",NA,NA,"55_Gbif_177"
"179","Xylocopa violacea",41.432884,2.165701,"Apidae",2021,3,21,"Jordi Sanchez","Jordi Sanchez",NA,"Cataluña",NA,NA,"55_Gbif_178"
"180","Bombus pascuorum",42.172609,2.466264,"Apidae",2021,3,9,"Mafa Bauçà","Mafa Bauçà","FEMALE","Cataluña",NA,NA,"55_Gbif_179"
"181","Bombus terrestris",41.570524,-1.060671,"Apidae",2021,3,8,"Javier Patiño Loira","Javier Patiño Loira",NA,"Aragón",NA,NA,"55_Gbif_180"
"182","Xylocopa violacea",42.428457,-4.682195,"Apidae",2021,3,28,"Cesar Pollo","Cesar Pollo",NA,"Castilla y León",NA,NA,"55_Gbif_181"
"183","Apis mellifera",42.439859,-8.461383,"Apidae",2021,3,6,"Manuel Ferreiro Expósito","Joan Díaz Calafat",NA,"Galicia",NA,NA,"55_Gbif_182"
"184","Apis mellifera",43.162274,-2.624203,"Apidae",2021,3,24,"aunamendi","frank007",NA,"País Vasco",NA,NA,"55_Gbif_183"
"185","Bombus pascuorum",41.571678,2.061422,"Apidae",2021,3,28,"Jose-Antonio Ortiz-Marzo","Jose-Antonio Ortiz-Marzo",NA,"Cataluña",NA,NA,"55_Gbif_184"
