"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Start.date","End.Date","Collector","Determiner","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Panurgus"," calcaratus",NA,"Spain","Región de Murcia","Totana"," 37.768119°"," -1.520667°","~100 metres",2017,5,24,NA,NA,"Andrés Garcia Reina","Concepción Ornosa, Carlos Ruiz y DNA barcoding",1,0,0,0,NA,"Sonchus tenerrimus",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Panurgus"," calcaratus",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.924566°"," -1.471160°","~100 metres",2017,5,2,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,1,0,0,NA,"Reichardia tingitana",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,5,16,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,1,0,0,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,5,16,NA,NA,"Ana Asensio","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,1,0,0,NA,"Sonchus tenerrimus",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,5,16,NA,NA,"Ana Asensio","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,1,0,0,NA,"Centaurea aspera",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,5,16,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Alhama de Murcia"," 37.870095°"," -1.453182°","~100 metres",2017,5,16,NA,NA,"Irene Muñoz Gabaldon","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Sideritis murgetana",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Alhama de Murcia"," 37.870095°"," -1.453182°","~100 metres",2017,5,16,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Phlomis lychnitis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.924566°"," -1.471160°","~100 metres",2017,5,16,NA,NA,"Vicente Martínez López","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,1,0,0,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.924566°"," -1.471160°","~100 metres",2017,5,16,NA,NA,"Diego Cejas","Concepción Ornosa, Carlos Ruiz y DNA barcoding",1,0,0,0,NA,"Centaurea aspera",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.924566°"," -1.471160°","~100 metres",2017,5,16,NA,NA,"Diego Cejas","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,1,0,0,NA,"Centaurea aspera",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.924566°"," -1.471160°","~100 metres",2017,5,16,NA,NA,"Diego Cejas","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Teucrium capitatum",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","El Berro"," 37.899793°"," -1.476075°","~100 metres",2017,5,16,NA,NA,"Diego Cejas","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Centaurea aspera",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","El Berro"," 37.899793°"," -1.476075°","~100 metres",2017,5,16,NA,NA,"Diego Cejas","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Centaurea aspera",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","El Berro"," 37.899793°"," -1.476075°","~100 metres",2017,5,16,NA,NA,"Diego Cejas","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","El Berro"," 37.899793°"," -1.476075°","~100 metres",2017,5,16,NA,NA,"Pilar de la Rúa","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Ballota hirsuta",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","El Berro"," 37.899793°"," -1.476075°","~100 metres",2017,5,16,NA,NA,"Pilar de la Rúa","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Rosmarinus officinalis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","El Berro"," 37.899793°"," -1.476075°","~100 metres",2017,5,16,NA,NA,"Vicente Martínez López","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Sideritis murgetana",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","El Berro"," 37.899793°"," -1.476075°","~100 metres",2017,5,16,NA,NA,"Diego Cejas","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Ballota hirsuta",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","El Berro"," 37.899793°"," -1.476075°","~100 metres",2017,5,16,NA,NA,"Diego Cejas","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Ballota hirsuta",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","El Berro"," 37.899793°"," -1.476075°","~100 metres",2017,5,16,NA,NA,"Vicente Martínez López","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Ballota hirsuta",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Alhama de Murcia"," 37.845003°"," -1.473255°","~100 metres",2017,5,24,NA,NA,"Vicente Martínez López","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,1,0,0,NA,"Rosmarinus officinalis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","El Berro"," 37.899793°"," -1.476075°","~100 metres",2017,5,2,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",1,0,0,0,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,5,2,NA,NA,"Diego Cejas","Concepción Ornosa, Carlos Ruiz y DNA barcoding",1,0,0,0,NA,"Cistus clusii",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.924566°"," -1.471160°","~100 metres",2017,5,2,NA,NA,"Diego Cejas","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,1,0,0,NA,"Anacyclus clavatus",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Alhama de Murcia"," 37.845003°"," -1.473255°","~100 metres",2017,5,8,NA,NA,"Irene Muñoz Gabaldon","Concepción Ornosa, Carlos Ruiz y DNA barcoding",1,0,0,0,NA,"Anthyllis cytisoides",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.818793°"," -1.494868°","~100 metres",2017,5,8,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Anthyllis cytisoides",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.818793°"," -1.494868°","~100 metres",2017,5,8,NA,NA,"Ana Asensio","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,1,0,0,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.818793°"," -1.494868°","~100 metres",2017,5,8,NA,NA,"Ana Asensio","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,1,0,0,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.790566°"," -1.505581°","~100 metres",2017,5,8,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,1,0,0,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.790566°"," -1.505581°","~100 metres",2017,5,8,NA,NA,"Diego Cejas","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Ballota hirsuta",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.768119°"," -1.520667°","~100 metres",2017,5,8,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Carduus sp",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.768119°"," -1.520667°","~100 metres",2017,5,8,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Carduus sp",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.768119°"," -1.520667°","~100 metres",2017,5,8,NA,NA,"Diego Cejas","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Carduus sp",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.768119°"," -1.520667°","~100 metres",2017,3,29,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.768119°"," -1.520667°","~100 metres",2017,3,29,NA,NA,"Irene Muñoz Gabaldon","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Carduus sp",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.798522°"," -1.530658°","~100 metres",2017,3,29,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.798522°"," -1.530658°","~100 metres",2017,3,29,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.798522°"," -1.530658°","~100 metres",2017,3,29,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.798522°"," -1.530658°","~100 metres",2017,3,29,NA,NA,"Irene Muñoz Gabaldon","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Oxalis pes-caprae",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.798522°"," -1.530658°","~100 metres",2017,3,29,NA,NA,"Irene Muñoz Gabaldon","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Oxalis pes-caprae",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.798522°"," -1.530658°","~100 metres",2017,3,29,NA,NA,"Irene Muñoz Gabaldon","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Oxalis pes-caprae",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.790566°"," -1.505581°","~100 metres",2017,3,29,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Rosmarinus officinalis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.790566°"," -1.505581°","~100 metres",2017,3,29,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.790566°"," -1.505581°","~100 metres",2017,3,29,NA,NA,"Irene Muñoz Gabaldon","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.790566°"," -1.505581°","~100 metres",2017,3,29,NA,NA,"Irene Muñoz Gabaldon","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.790566°"," -1.505581°","~100 metres",2017,3,29,NA,NA,"Vicente Martínez López","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.818793°"," -1.494868°","~100 metres",2017,3,29,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Anthyllis cytisoides",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Alhama de Murcia"," 37.845003°"," -1.473255°","~100 metres",2017,3,29,NA,NA,"Vicente Martínez López","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Anthyllis cytisoides",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","El Berro"," 37.899793°"," -1.476075°","~100 metres",2017,3,22,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","El Berro"," 37.899793°"," -1.476075°","~100 metres",2017,3,22,NA,NA,"Vicente Martínez López","Concepción Ornosa, Carlos Ruiz y DNA barcoding",1,0,0,0,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.798522°"," -1.530658°","~100 metres",2017,3,1,NA,NA,"Irene Muñoz Gabaldon","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Oxalis pes-caprae",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.798522°"," -1.530658°","~100 metres",2017,3,1,NA,NA,"Irene Muñoz Gabaldon","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Oxalis pes-caprae",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.798522°"," -1.530658°","~100 metres",2017,3,1,NA,NA,"Irene Muñoz Gabaldon","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Euphorbia serrata",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.798522°"," -1.530658°","~100 metres",2017,3,1,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.798522°"," -1.530658°","~100 metres",2017,3,1,NA,NA,"Vicente Martínez López","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,1,0,0,NA,"Oxalis pes-caprae",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.790566°"," -1.505581°","~100 metres",2017,3,1,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.790566°"," -1.505581°","~100 metres",2017,3,1,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.790566°"," -1.505581°","~100 metres",2017,3,1,NA,NA,"Irene Muñoz Gabaldon","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Carrichtera annua",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Rhodanthidium"," sticticum",NA,"Spain","Región de Murcia","Totana"," 37.790566°"," -1.505581°","~100 metres",2017,3,1,NA,NA,"Irene Muñoz Gabaldon","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,NA,NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
