Species;author;Country;Longitude;Latitude;Year;Month;Day;Start.date;End.date;Coll../.source
abeillei;PÉREZ;SPAIN;W02.46;N37.08;1989;10;12;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W02.47;N36.42;2008;07;02;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W02.51;N36.49;1989;10;13;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W02.51;N36.49;2007;06;14;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W02.51;N36.49;1989;10;13;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W02.59;N37.01;1988;06;24;NA;NA;Schwarz
abeillei;PÉREZ;SPAIN;W03.00;N37.05;NA;NA;NA;18-07-1980;24-07-1980;Natural History Museum, London
abeillei;PÉREZ;SPAIN;W03.00;N37.55;NA;NA;NA;16-06-1955;19-06-1955;Natural History Museum, London
abeillei;PÉREZ;SPAIN;W03.01;N36.53;1991;09;22;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W03.03;N37.55;1974;05;28;NA;NA;USDA, Logan, Utah
abeillei;PÉREZ;SPAIN;W03.03;N38.16;NA;NA;NA;21-06-1955;24-06-1955;Natural History Museum, London
abeillei;PÉREZ;SPAIN;W03.09;N36.59;1988;10;18;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W03.10;N37.00;1973;09;15;NA;NA;Natural History Museum, London
abeillei;PÉREZ;SPAIN;W03.19;N36.56;2014;05;23;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W03.19;N36.56;2014;05;10;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W03.19;N36.56;2014;05;14;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W03.19;N36.55;2014;05;17;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W03.20;N36.55;2014;05;22;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W03.24;N36.47;2007;06;10;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W03.26;N37.09;1988;10;05;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W03.30;N38.20;1961;06;16;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;W03.30;N38.22;1961;06;17;NA;NA;National Museum of Natural History, Leiden/Kuhlmann(3w)
abeillei;PÉREZ;SPAIN;W03.30;N38.22;1958;05;25;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;W03.31;N37.13;1981;05;20;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W03.31;N37.13;2006;05;21;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W03.32;N37.08;2007;06;17;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W03.36;N38.16;1952;09;16;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;W03.41;N36.44;1982;10;10;NA;NA;National Museum of Natural History, Leiden
abeillei;PÈREZ;SPAIN;W03.42;N40.25;1949;05;05;NA;NA;Museo Nacional de Ciencias Naturales, Madrid
abeillei;PÈREZ;SPAIN;W03.42;N40.25;1956;06;11;NA;NA;Museo Nacional de Ciencias Naturales, Madrid
abeillei;PÉREZ;SPAIN;W03.42;N40.25;1978;06;01;NA;NA;Museo Nacional de Ciencias Naturales, Madrid
abeillei;PÉREZ;SPAIN;W03.46;N40.31;1979;06;07;NA;NA;Museo Nacional de Ciencias Naturales, Madrid
abeillei;PÉREZ;SPAIN;W03.48;N40.26;1905;05;14;NA;NA;Museo Nacional de Ciencias Naturales, Madrid
abeillei;PÉREZ;SPAIN;W03.48;N40.38;1979;06;03;NA;NA;Natural History Museum, London
abeillei;PÉREZ;SPAIN;W03.52;N36.44;1982;10;10;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;W03.53;N36.47;2005;05;13;NA;NA;Vereecken
abeillei;PÉREZ;SPAIN;W03.54;N37.03;1983;05;28;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;W04.00;N40.18;1983;06;07;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;W04.01;N39.51;1979;05;28;NA;NA;Natural History Museum, London
abeillei;PÉREZ;SPAIN;W04.01;N40.47;2019;07;18;NA;NA;T.Wood
abeillei;PÉREZ;SPAIN;W04.07;N40.35;1943;06;15;NA;NA;Museo Nacional de Ciencias Naturales, Madrid
abeillei;PÉREZ;SPAIN;W04.07;N40.35;1984;07;01;NA;NA;Museo Nacional de Ciencias Naturales, Madrid
abeillei;PÉREZ;SPAIN;W04.18.22;N36.52.27;2016;06;08;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W04.23;N40.14;1985;05;30;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;W04.27.58;N36.40.38;2013;05;23;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W04.27.58;N36.40.38;2013;05;20;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W04.27.58;N36.40.38;2013;05;18;NA;NA;Smit
abeillei;PEREZ;SPAIN;W04.32;N40.35;2010;06;03;NA;NA;Prosi
abeillei;PÉREZ;SPAIN;W04.34.29;N36.39.02;2013;05;15;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W04.40.28;N36.43.45;2013;05;16;NA;NA;Smit
abeillei;PÈREZ;SPAIN;W04.41;N40.39;1965;10;21;NA;NA;Museo Nacional de Ciencias Naturales, Madrid
abeillei;PÉREZ;SPAIN;W04.49;N41.40;NA;NA;NA;12-06-1974;15-06-1974;USDA, Logan, Utah
abeillei;PÉREZ;SPAIN;W04.49;N38.56;2009;05;30;NA;NA;J. Ortiz-Sanchez
abeillei;PÉREZ;SPAIN;W04.59;N36.29;NA;NA;NA;12-05-1960;15-05-1960;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;W05.05;N37.04;2014;09;14;NA;NA;Baldock
abeillei;PÉREZ;SPAIN;W05.05;N37.04;2014;09;30;NA;NA;Baldock
abeillei;PÉREZ;SPAIN;W05.05;N37.04;2015;09;20;NA;NA;Oxford University Museum
abeillei;PÉREZ;SPAIN;W05.05;N37.04;2015;09;27;NA;NA;Oxford University Museum
abeillei;PÉREZ;SPAIN;W05.05;N37.04;2016;10;02;NA;NA;Oxford University Museum
abeillei;PÉREZ;SPAIN;W05.05;N37.04;2016;09;25;NA;NA;Oxford University Museum
abeillei;PÉREZ;SPAIN;W05.05;N37.04;2012;06;02;NA;NA;Oxford University Museum
abeillei;PÉREZ;SPAIN;W05.10.50;N36.50.06;2017;06;06;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W05.41;N40.15;1961;06;22;NA;NA;National Museum of Natural History, Leiden
abeillei;PÉREZ;SPAIN;W06.07;N36.41;NA;NA;NA;10-09-1961;12-09-1961;Kuhlmann
abeillei;PÉREZ;SPAIN;W06.22.08;N37.17.05;2015;06;07;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W06.37.04;N37.55.23;2015;06;10;NA;NA;Smit
abeillei;PÉREZ;SPAIN;W06.43;N40.10;1995;05;22;NA;NA;Zoölogisch Museum Amsterdam
acutiformis;NOSKIEWICZ;PORTUGAL;W08.51;N37.18;2005;05;02;NA;NA;Coll. Smit, Duiven
acutiformis;NOSKIEWICZ;SPAIN;W05.58.45;N41.34.49;2019;05;21;NA;NA;Kuhlmann
acutus;PÉREZ;PORTUGAL;W07.25;N37.12;NA;NA;NA;NA;NA;Museo Zoologico de Coimbra
acutus;PÉREZ;PORTUGAL;W07.30;N37.10;2014;04;22;NA;NA;E. Dufrene
acutus;PÉREZ;PORTUGAL;W07.46;N37.21;2016;04;24;NA;NA;Baldock
acutus;PÉREZ;PORTUGAL;W08.06;N37.04;1985;04;22;NA;NA;O.Ö. Landesmuseum, Linz (Coll. Warncke)
acutus;PÉREZ;PORTUGAL;W08.15;N37.05;NA;NA;NA;14-03-1995;24-03-1995;Zoölogisch Museum Amsterdam
acutus;PÉREZ;PORTUGAL;W08.17;N37.07;2004;04;28;NA;NA;Natural History Museum, London
acutus;PÉREZ;PORTUGAL;W08.17;N37.07;2009;03;12;NA;NA;Baldock/Kuhlmann(3m)
acutus;PÉREZ;PORTUGAL;W08.43;N41.18;2016;03;23;NA;NA;D. Baldock
acutus;PÉREZ;PORTUGAL;W08.46;N37.25;2015;03;28;NA;NA;Baldock
acutus;PÉREZ;PORTUGAL;W08.47;N37.43;2015;03;29;NA;NA;Baldock
acutus;PÉREZ;PORTUGAL;W08.54;N37.11;2014;04;05;NA;NA;Baldock
acutus;PÉREZ;PORTUGAL;W08.55;N37.07;1997;04;01;NA;NA;Hartmann
acutus;PÉREZ;PORTUGAL;W09.19;N38.41;1956;05;06;NA;NA;Museo Zoologico de Coimbra
acutus;PÉREZ;PORTUGAL;W09.19;N38.41;1955;04;26;NA;NA;Museo Zoologico de Coimbra
acutus;PÉREZ;PORTUGAL;W09.19;N38.41;1955;04;17;NA;NA;Museo Zoologico de Coimbra
acutus;PÉREZ;SPAIN;E01.21;N38.52;2016;04;24;NA;NA;Baldock
acutus;PÉREZ;SPAIN;E01.25;N39.00;1883;04;10;NA;NA;(NOSKIEWICZ 1936)
acutus;PÉREZ;SPAIN;E01.30;N39.00;1883;04;20;NA;NA;O.Ö. Landesmuseum, Linz (Coll. Warncke)
acutus;PÉREZ;SPAIN;E01.30;N39.00;1975;04;12;NA;NA;Zoölogisch Museum Amsterdam
acutus;PÉREZ;SPAIN;W00.51;N38.32;2013;04;04;NA;NA;Schwenninger
acutus;PÉREZ;SPAIN;W02.09;N36.50;2014;03;25;NA;NA;Bogusch
acutus;PÉREZ;SPAIN;W04.45;N37.17;2009;03;27;NA;NA;J. Ortiz-Sanchez
acutus;PÉREZ;SPAIN;W05.05;N37.04;2012;03;14;NA;NA;Oxford University Museum
acutus;PÉREZ;SPAIN;W05.21;N36.08;1910;NA;NA;NA;NA;NHML
acutus;PÉREZ;SPAIN;W06.05;N36.16;2014;04;01;NA;NA;Baldock
acutus;PEREZ;SPAIN;W06.10;N36.21;2010;04;08;NA;NA;Schmid-Egger
acutus;PÉREZ;SPAIN;W06.13;N36.36;NA;NA;NA;NA;NA;(NOSKIEWICZ 1936)
acutus;PÉREZ;SPAIN;W06.15;N36.28;1965;04;25;NA;NA;Museum Luzern
acutus;PÉREZ;SPAIN;W06.19;N36.49;NA;NA;NA;22-04-1979;25-04-1979;O.Ö. Landesmuseum, Linz (Coll. Warncke)
acutus;PÉREZ;SPAIN;W06.19;N36.49;1980;04;15;NA;NA;O.Ö. Landesmuseum, Linz (Coll. Warncke)
acutus;PÉREZ;SPAIN;W06.20.12;N37.15.54;2012;04;13;NA;NA;Smit / Kuhlmann
acutus;PÉREZ;SPAIN;W06.22;N37.17;2009;03;28;NA;NA;J. Ortiz-Sanchez
acutus;PÉREZ;SPAIN;W06.25.16;N37.07.55;2003;04;20;NA;NA;Natural History Museum, London/Kuhlmann(1w)
acutus;PÉREZ;SPAIN;W06.26.16;N37.07.10;2003;04;04;NA;NA;Kuhlmann
acutus;PÉREZ;SPAIN;W06.26.16;N37.07.10;2003;04;05;NA;NA;Roberts/Kuhlmann(5m)
acutus;PÉREZ;SPAIN;W06.27.39;N37.08.01;2003;04;04;NA;NA;Roberts
acutus;PEREZ;SPAIN;W06.31;N36.59;2010;04;08;NA;NA;Schmid-Egger/Kuhlmann(2w, 2m)
acutus;PÉREZ;SPAIN;W06.45;N37.06;1984;04;11;NA;NA;National Museum of Natural History, Leiden/Kuhlmann(2m)
acutus;PÉREZ;SPAIN;W06.53;N37.13;2008;03;27;NA;NA;J. Ortiz-Sanchez
acutus;PÉREZ;SPAIN;W07.07;N37.13;2012;03;12;NA;NA;D. Baldock
albomaculatus;(LUCAS);PORTUGAL;W07.41;N37.04;1997;03;29;NA;NA;Hartmann
albomaculatus;(LUCAS);PORTUGAL;W07.58;N37.03;1990;04;18;NA;NA;National Museum of Natural History, Leiden
albomaculatus;(LUCAS);PORTUGAL;W07.58;N37.03;1987;03;29;NA;NA;National Museum of Natural History, Leiden
albomaculatus;(LUCAS);PORTUGAL;W08.00;N37.46;2008;05;14;NA;NA;Prosi
albomaculatus;(LUCAS);PORTUGAL;W08.00;N37.46;2008;05;15;NA;NA;Prosi
albomaculatus;(LUCAS);PORTUGAL;W08.26;N37.11;1997;04;05;NA;NA;Hartmann
albomaculatus;(LUCAS);PORTUGAL;W08.32;N37.07;1951;08;14;NA;NA;National Museum of Natural History, Leiden
albomaculatus;(LUCAS);PORTUGAL;W08.44;N37.05;1997;04;08;NA;NA;Hartmann/Kuhlmann(1w/1m)
albomaculatus;(LUCAS);PORTUGAL;W08.47;N37.39;2012;05;21;NA;NA;Baldock
albomaculatus;(LUCAS);PORTUGAL;W08.50;N37.03;1997;04;07;NA;NA;Hartmann/Kuhlmann(1w)
albomaculatus;(LUCAS);PORTUGAL;W08.50;N37.20;2005;05;02;NA;NA;Coll. Smit, Duiven
albomaculatus;(LUCAS);PORTUGAL;W08.54;N37.11;1995;05;08;NA;NA;Schwarz
albomaculatus;(LUCAS);PORTUGAL;W08.54;N37.11;2005;05;02;NA;NA;Coll. Smit, Duiven
albomaculatus;(LUCAS);PORTUGAL;W08.54;N37.11;2017;04;23;NA;NA;Smit
albomaculatus;(LUCAS);PORTUGAL;W08.55;N37.07;1997;04;01;NA;NA;Hartmann
albomaculatus;(LUCAS);PORTUGAL;W08.56;N37.01;1995;05;07;NA;NA;Schwarz
albomaculatus;(LUCAS);PORTUGAL;W09.13;N38.25;2012;05;16;NA;NA;Baldock
albomaculatus;(LUCAS);PORTUGAL;W09.19;N38.41;1955;04;17;NA;NA;Museo Zoologico de Coimbra
albomaculatus;(LUCAS);PORTUGAL;W09.19;N38.41;1956;05;06;NA;NA;Museo Zoologico de Coimbra
albomaculatus;(LUCAS);PORTUGAL;W09.19;N38.41;1955;04;26;NA;NA;Museo Zoologico de Coimbra
albomaculatus;(LUCAS);PORTUGAL;W09.23;N38.42;1951;04;15;NA;NA;National Museum of Natural History, Leiden
albomaculatus;(LUCAS);PORTUGAL;W09.23;N38.42;1955;04;17;NA;NA;Museo Zoologico de Coimbra
albomaculatus;(LUCAS);PORTUGAL;W09.23;N38.42;1955;04;28;NA;NA;Museo Zoologico de Coimbra
albomaculatus;(LUCAS);SPAIN;E00.30;N41.13;2000;05;06;NA;NA;Scheuchl
albomaculatus;(LUCAS);SPAIN;E00.58;N41.03;2001;05;04;NA;NA;Scheuchl
albomaculatus;(LUCAS);SPAIN;E02.31;N39.30;1977;03;25;NA;NA;USDA, Logan, Utah
albomaculatus;(LUCAS);SPAIN;E03.02;N39.43;2010;04;25;NA;NA;Baldock
albomaculatus;(LUCAS);SPAIN;E03.12;N39.34;1890;05;NA;NA;NA;Museo Nacional de Ciencias Naturales, Madrid
albomaculatus;(LUCAS);SPAIN;E03.12;N39.34;1890;05;NA;NA;NA;Museo Nacional de Ciencias Naturales, Madrid
albomaculatus;(LUCAS);SPAIN;E03.26;N39.42;NA;NA;NA;15-04-1993;22-04-1993;Kuhlmann
albomaculatus;(LUCAS);SPAIN;W00.29;N38.20;2000;05;01;NA;NA;Scheuchl
albomaculatus;(LUCAS);SPAIN;W00.53;N41.39;1970;06;11;NA;NA;Natural History Museum, London
albomaculatus;(LUCAS);SPAIN;W01.25;N37.51;2000;04;30;NA;NA;Scheuchl
albomaculatus;(LUCAS);SPAIN;W01.52;N39.02;1960;05;24;NA;NA;National Museum of Natural History, Leiden
albomaculatus;(LUCAS);SPAIN;W02.07;N37.07;2014;03;25;NA;NA;Bogusch
albomaculatus;(LUCAS);SPAIN;W02.12;N41.03;1955;07;28;NA;NA;Museo Nacional de Ciencias Naturales, Madrid
albomaculatus;(LUCAS);SPAIN;W02.14;N37.09;2014;03;31;NA;NA;Bogusch
albomaculatus;(LUCAS);SPAIN;W02.21;N40.03;1983;06;08;NA;NA;National Museum of Natural History, Leiden
albomaculatus;(LUCAS);SPAIN;W02.59;N37.01;1988;06;24;NA;NA;Schwarz
albomaculatus;(LUCAS);SPAIN;W02.59;N37.01;1988;06;24;NA;NA;Schwarz
albomaculatus;(LUCAS);SPAIN;W02.59;N37.01;1991;07;28;NA;NA;J. Ortiz-Sanchez
albomaculatus;(LUCAS);SPAIN;W03.08;N37.04;1988;06;24;NA;NA;Kuhlmann
albomaculatus;(LUCAS);SPAIN;W03.08;N37.04;1988;06;24;NA;NA;Schwarz
albomaculatus;(LUCAS);SPAIN;W03.09.20;N40.34.07;2013;06;01;NA;NA;Liebig
albomaculatus;(LUCAS);SPAIN;W03.11;N39.58;1983;06;08;NA;NA;National Museum of Natural History, Leiden
albomaculatus;(LUCAS);SPAIN;W03.18;N40.26;2008;06;15;NA;NA;J. Ortiz-Sanchez
albomaculatus;(LUCAS);SPAIN;W03.19;N36.56;2014;05;20;NA;NA;Smit
albomaculatus;(LUCAS);SPAIN;W03.19;N36.56;2014;05;13;NA;NA;Smit
albomaculatus;(LUCAS);SPAIN;W03.19;N36.56;2014;05;19;NA;NA;Smit
albomaculatus;(LUCAS);SPAIN;W03.19;N36.56;2014;05;14;NA;NA;Smit
albomaculatus;(LUCAS);SPAIN;W03.21;N39.59;1983;06;08;NA;NA;National Museum of Natural History, Leiden
albomaculatus;(LUCAS);SPAIN;W03.21;N36.57;1991;07;29;NA;NA;J. Ortiz-Sanchez
albomaculatus;(LUCAS);SPAIN;W03.32;N36.56;1987;05;24;NA;NA;J. Ortiz-Sanchez
