"";"X";"flag";"checked";"synonym_names";"questionable";"accepted_name";"accepted_subspecies";"Notes"
"45";45;"Andrena thomsonii";"Andrena thomsoni";NA;NA;"Andrena thomsoni";NA;NA
"46";46;"Andrena vachali";NA;NA;NA;"Remove";NA;"Canarian species"
"47";47;"Andrena vaga";NA;NA;NA;"Remove";NA;"Not confirmed from Spain"
"48";48;"Andrena wollastoni";NA;NA;NA;"Remove";NA;"Canarian species"
"49";49;"Anthidium caturigense";NA;NA;NA;"Rhodanthidium caturigense";NA;NA
"50";50;"Anthidium eximium";NA;NA;NA;"Pseudoanthidium eximium";NA;NA
"51";51;"Anthidium ferrugineum";NA;NA;NA;"Icteranthidium ferrugineum";NA;NA
"52";52;"Anthidium florentium";"Anthidium florentinum";NA;NA;"Anthidium florentinum";NA;NA
"53";53;"Anthidium fuscatum";NA;NA;NA;"Remove";NA;"No idea!"
"54";54;"Anthidium grohmanni";NA;NA;NA;"Icteranthidium grohmanni";NA;NA
"55";55;"Anthidium laterale";NA;NA;NA;"Icteranthidium laterale";NA;NA
"56";56;"Anthidium laticeps";NA;NA;NA;"Trachusa laticeps";NA;NA
"57";57;"Anthidium lituratum";NA;"Pseudoanthidium scapulare";NA;"Pseudoanthidium nanum";"aggregate";"This group of Pseudoanthidium is highly confused and undergoing revision at the moment, best to include as P. nanum aggregate"
"58";58;"Anthidium reticulatum";NA;NA;NA;"Pseudoanthidium reticulatum";NA;NA
"59";59;"Anthidium schultessii";NA;NA;NA;"Afranthidium schulthessii";NA;NA
"60";60;"Anthidium schulthessi";NA;NA;NA;"Afranthidium schulthessii";NA;NA
"61";61;"Anthidium septemdentatum";NA;NA;NA;"Rhodanthidium septemdentatum";NA;NA
"62";62;"Anthidium siculum";NA;NA;NA;"Rhodanthidium siculum";NA;NA
"63";63;"Anthidium sticticum";NA;NA;NA;"Rhodanthidium sticticum";NA;NA
"64";64;"Anthidium strigatum";NA;NA;NA;"Anthidiellum strigatum";NA;NA
"65";65;"Anthocopa anceyi";NA;"Hoplosmia anceyi";NA;"Osmia anceyi";NA;NA
"66";66;"Anthocopa bidentata";NA;"Hoplosmia bidentata";NA;"Remove";NA;"Not present in Iberia - greatly confused with Osmia anceyi and Osmia ligurica"
"67";67;"Anthocopa bisulca";NA;NA;NA;"Hoplitis bisulca";NA;NA
"68";68;"Anthocopa cristatitla";NA;NA;NA;"Hoplitis cristatula";NA;NA
"69";69;"Anthocopa ligurica";NA;"Hoplosmia ligurica";NA;"Osmia ligurica";NA;NA
"70";70;"Anthocopa ononidis";NA;NA;NA;"Osmia tergestensis";NA;NA
"71";71;"Anthocopa papaveris";NA;NA;NA;"Hoplitis papaveris";NA;NA
"72";72;"Anthophora acervorum";NA;NA;NA;"Anthophora plumipes";NA;NA
"73";73;"Anthophora alluaudi";NA;NA;NA;"Remove";NA;"Canarian species"
"74";74;"Anthophora biciliata";NA;NA;NA;"Anthophora affinis";NA;NA
"75";75;"Anthophora dispar?";"Anthophora dispar";NA;"?";"Remove";NA;"Delete - user uncertainty"
"76";76;"Anthophora erschowi";NA;NA;NA;"Remove";NA;"Not known from Iberia"
"77";77;"Anthophora nigrilabris";NA;NA;NA;"Remove";NA;"Maybe referring to Eucera nigrilabris? Would need to ask the author"
"78";78;"Anthophora orotavae";NA;NA;NA;"Remove";NA;"Canarian species"
"79";79;"Anthophora pubescens";NA;NA;NA;"Anthophora pubescens";NA;NA
"80";80;"Anthophora pulverosa";NA;NA;NA;"Remove";NA;"Canarian species"
"81";81;"Anthophora purpuraria";NA;NA;NA;"Remove";NA;"Canarian species"
"82";82;"Anthophora quadricolor";NA;NA;NA;"Anthophora gallica";NA;"True quadricolor is a North African species"
"83";83;"Anthophora rutilans";NA;NA;NA;"Remove";NA;"Not confirmed from Spain"
"84";84;"Anthophora salviae";NA;NA;NA;"Anthophora crinipes";NA;NA
"85";85;"Anthophora senescens";"Anthophora canescens";NA;NA;"Anthophora senescens";NA;"Certainly distinct from Anthophora canescens"
"86";86;"Anthophora subterranea";NA;"Anthophorini";NA;"Anthophora canescens";NA;NA
"87";87;"Anthophora testaceipes";NA;NA;NA;"Remove";NA;"No idea!"
"88";88;"Anthophora thomsoni";NA;NA;NA;"Anthophora atriceps";NA;NA
"89";89;"Apis henshawi";NA;NA;NA;"Remove";NA;"No idea!"
"90";90;"Apis manicatum";NA;NA;NA;"Remove";NA;"Probably Anthidium manicatum, but this must be from a really old paper"
"91";91;"Apis melifera";"Apis mellifera";NA;NA;"Apis mellifera";NA;NA
"92";92;"Apis villosa";NA;NA;NA;"Remove";NA;"No idea!"
"93";93;"Bombus cerdanyensis";NA;NA;NA;"Remove";NA;"No idea!"
"94";94;"Bombus cornutus";NA;NA;NA;"Remove";NA;"Osmia cornuta?"
"95";95;"Bombus inexspectatus";"Bombus inexpectatus";NA;NA;"Bombus inexpectatus";NA;NA
"96";96;"Bombus laponicus";NA;NA;NA;"Remove";NA;"Not in Iberia"
"97";97;"Bombus maxillosus";NA;NA;NA;"Bombus barbutellus";NA;NA
"98";98;"Bombus mocsaryi";NA;NA;NA;"Bombus laesus";NA;"New synonymy"
"99";99;"Bombus pascuroum";"Bombus pascuorum";NA;NA;"Bombus pascuorum";NA;NA
"100";100;"Bombus pauloensis";NA;NA;NA;"Remove";NA;"No idea!"
"101";101;"Bombus reinigiellus";NA;NA;NA;"Bombus hortorum";NA;"New synonymy, will be published this year"
"102";102;"Ceratina albosticta";NA;NA;NA;"Remove";NA;"Not in Iberia, confused with Ceratina cyanea"
"103";103;"Ceratina centriventis";NA;NA;NA;"Remove";NA;"No idea!"
"104";104;"Ceratina cucurbitula";"Ceratina cucurbitina";NA;NA;"Ceratina cucurbitina";NA;NA
"105";105;"Chalicodoma albonotata";NA;NA;NA;"Megachile albonotata";NA;NA
"106";106;"Chalicodoma ericetorum";NA;NA;NA;"Megachile ericetorum";NA;NA
"107";107;"Chalicodoma parietina";NA;NA;NA;"Megachile parietina";NA;NA
"108";108;"Chalicodoma pyrenaica";NA;NA;NA;"Megachile pyrenaica";NA;NA
"109";109;"Chalicodoma sicula";NA;NA;NA;"Megachile sicula";NA;NA
"110";110;"Chelostoma campanulorum";"Chelostoma campanularum";NA;NA;"Chelostoma campanularum";NA;NA
"111";111;"Chelostoma florisomnis";"Chelostoma florisomne";NA;NA;"Chelostoma florisomne";NA;NA
"112";112;"Chelostoma lucens";NA;NA;NA;"Remove";NA;"Not in Iberia, eastern species"
"113";113;"Coelioxys acanthura";"Coelioxys acanthurus";NA;NA;"Coelioxys acanthurus";NA;NA
"114";114;"Coelioxys afra";"Coelioxys afer";NA;NA;"Coelioxys afer";NA;NA
"115";115;"Coelioxys allocoelioxys";NA;NA;NA;"Remove";NA;"Just reported at subgeneric level, delete"
"116";116;"Coelioxys aurolimbata";"Coelioxys atrolimbata";NA;NA;"Coelioxys aurolimbatus";NA;NA
"117";117;"Coelioxys conoidea";"Coelioxys conoideus";NA;NA;"Coelioxys conoideus";NA;NA
"118";118;"Coelioxys echinata";"Coelioxys echinatus";NA;NA;"Coelioxys echinatus";NA;NA
"119";119;"Coelioxys elongata";"Coelioxys elongatus";NA;NA;"Coelioxys elongatus";NA;NA
"120";120;"Coelioxys haemorrhous";"Coelioxys haemorrhoa";NA;NA;"Coelioxys haemorrhoa";NA;NA
"121";121;"Coelioxys haemorroa";"Coelioxys haemorrhoa";NA;NA;"Coelioxys haemorrhoa";NA;NA
"122";122;"Coelioxys obtusa";"Coelioxys obtusus";NA;NA;"Coelioxys obtusus";NA;NA
"123";123;"Coelioxys rufocaudata";NA;NA;NA;"Coelioxys echinatus";NA;NA
"124";124;"Colletes caspicus";NA;NA;NA;"Remove";NA;"Not in Iberia"
"125";125;"Colletes cunicularius";"Colletes cunicularis";NA;NA;"Colletes cunicularis";NA;NA
"126";126;"Colletes hylaeiformis";"Colletes hylaeformis";NA;NA;"Colletes hylaeformis";NA;NA
"127";127;"Colletes ibericus";NA;NA;NA;"Colletes pulchellus";NA;NA
"128";128;"Colletes jankowskyi";NA;NA;NA;"Remove";NA;"No idea!"
"129";129;"Colletes succintus";"Colletes succinctus";NA;NA;"Colletes succinctus";NA;NA
"130";130;"Creightonella albisecta";NA;NA;NA;"Megachile albisecta";NA;NA
"131";131;"Dasypoda altercator";NA;"Dasypoda hirtipes";NA;"Dasypoda hirtipes";NA;NA
"132";132;"Dasypoda sinuata";NA;NA;NA;"Remove";NA;"Canarian species"
"133";133;"Dioxys cincta";"Dioxys cinctus";NA;NA;"Dioxys cinctus";NA;NA
"134";134;"Dioxys moesta";"Dioxys moestus";NA;NA;"Dioxys moestus";NA;NA
"135";135;"Dioxys rotundata";NA;NA;NA;"Dioxys moestus";NA;NA
"136";136;"Dufourea fortunata";NA;NA;NA;"Remove";NA;"Canarian species"
"137";137;"Epeolus flavociliatus";NA;NA;NA;"Remove";NA;"Canarian species"
"138";138;"Epeolus julliani";NA;NA;NA;"Epeolus transitorius";NA;"julliani is the junior synonym"
"139";139;"Eucera algira";NA;NA;NA;"Eucera algira";NA;NA
"140";140;"Eucera atroalba";NA;NA;NA;"Eucera brachycera";NA;NA
"141";141;"Eucera bolivari";NA;"Eucera decolorata";NA;"Eucera decolorata";NA;NA
"142";142;"Eucera cinerea";NA;NA;NA;"Eucera cineraria";NA;NA
"143";143;"Eucera doursana";NA;NA;NA;"Remove";NA;"No idea!"
"144";144;"Eucera elongata";"Eucera elongatula";NA;NA;"Eucera elongatula";NA;NA
"145";145;"Eucera fallax";NA;"Eucera syriaca";NA;"Remove";NA;"No idea!"
"146";146;"Eucera gracilipes";NA;NA;NA;"Eucera gracilipes";NA;"Canarian species"
"147";147;"Eucera graeca";"Eucera graja";NA;NA;"Eucera graja";NA;NA
"148";148;"Eucera grandis";NA;NA;NA;"Eucera rufa";NA;NA
"149";149;"Eucera grisea";NA;"Eucera eucnemidea";NA;"Eucera eucnemidea";NA;NA
"150";150;"Eucera helvola";NA;NA;NA;"Remove";NA;"Not in Iberia, eastern species"
"151";151;"Eucera hispanica?";NA;NA;"?";"Remove";NA;"Delete - user uncertainty"
"152";152;"Eucera nitidiventris";NA;NA;NA;"Eucera proxima";NA;NA
"153";153;"Eucera obliberata";"Eucera obliterata";NA;NA;"Eucera obliterata";NA;NA
"154";154;"Eucera pulveracea";NA;NA;NA;"Remove";NA;"No idea!"
"155";155;"Eucera sogdiana";NA;NA;NA;"Remove";NA;"Not in Iberia, eastern species"
"156";156;"Eucera trivittata";NA;"Eucera seminuda";NA;"Remove";NA;"syn Eucera seminuda, not in Iberia, eastern species"
"157";157;"Eucera tuberculata";NA;NA;NA;"Eucera nigrescens";NA;NA
"158";158;"Eucera vidua";NA;NA;NA;"Remove";NA;"North African species"
"159";159;"Flavipanurgus ibericus_agg";NA;NA;"_agg";"Flavipanurgus ibericus";"aggregate";"This is necessary since the former concept of ibericus contains F. ibericus s.s. and F. kastiliensis"
"160";160;"Flavipanurgus venustus";NA;NA;NA;"Flavipanurgus venustus";NA;NA
"161";161;"Halictus allratus";NA;NA;NA;"Remove";NA;"No idea!"
"162";162;"Halictus balearicus";NA;NA;NA;"Halictus balearicus";NA;NA
"163";163;"Halictus cephalicus";NA;NA;NA;"Remove";NA;"Not in Iberia, eastern species"
"164";164;"Halictus compressus";NA;NA;NA;"Remove";NA;"Part of a complicated group, true compressus is not in Iberia, could be listed as Halictus crenicornis aggregate"
"165";165;"Halictus concinnus";NA;NA;NA;"Remove";NA;"Canarian species"
"166";166;"Halictus kassleri";"Halictus kessleri";NA;NA;"Halictus kessleri";NA;NA
"167";167;"Halictus petrefactus";NA;NA;NA;"Remove";NA;"No idea!"
"168";168;"Halictus quadricinctus";"Halictus quadricintus";NA;NA;"Halictus quadricintus";NA;NA
"169";169;"Halictus sedalonius";"Halictus seladonius";NA;NA;"Halictus seladonius";NA;NA
"170";170;"Halictus seladonia-smaragdulus";NA;NA;NA;"Remove";NA;"Delete - user uncertainty"
"171";171;"Halictus tetrazonius";NA;NA;NA;"Remove";NA;"Historic confusion, H. tetrazonius is not in Iberia"
"172";172;"Halictus tripartitus";NA;NA;NA;"Remove";NA;"No idea!"
"173";173;"Heriades crenulata";"Heriades crenulatus";NA;NA;"Heriades crenulatus";NA;NA
"174";174;"Heriades rubicolus";"Heriades rubicola";NA;NA;"Heriades rubicola";NA;NA
"175";175;"Hoplitis anceyi";NA;NA;NA;"Osmia anceyi";NA;NA
"176";176;"Hoplitis andrenoides";NA;"Osmia andrenoides";NA;"Osmia andrenoides";NA;NA
"177";177;"Hoplitis crenidata";"Hoplitis crenulata";NA;NA;"Remove";NA;"No idea!"
"178";178;"Hoplitis leucomelaena";"Hoplitis leucomelana";NA;NA;"Hoplitis leucomelana";NA;NA
"179";179;"Hoplitis ligurica";NA;NA;NA;"Osmia ligurica";NA;NA
"180";180;"Hoplitis mucida";NA;NA;NA;"Hoplitis stecki";NA;"Raised to full species status, true mucida is in North Africa and the Middle East"
"181";181;"Hoplitis paestrans";"Hoplitis praestans";NA;NA;"Hoplitis praestans";NA;NA
"182";182;"Hoplitis rufohirta";NA;NA;NA;"Osmia rufohirta";NA;NA
"183";183;"Hoplitis scutellaris";NA;NA;NA;"Osmia scutellaris";NA;NA
"184";184;"Hoplitis spinolae";NA;NA;NA;"Hoplitis adunca";NA;NA
"185";185;"Hoplosmia anceyi";NA;NA;NA;"Osmia anceyi";NA;NA
"186";186;"Hoplosmia fallax";NA;NA;NA;"Osmia fallax";NA;NA
"187";187;"Hoplosmia ligurica";NA;NA;NA;"Osmia ligurica";NA;NA
"188";188;"Hylaeus adriaticus";NA;NA;NA;"Remove";NA;"Not in Iberia"
"189";189;"Hylaeus difformis";"Hylaeus diffiformis";NA;NA;"Hylaeus diffiformis";NA;NA
"190";190;"Hylaeus diplonymus";NA;NA;NA;"Remove";NA;"No idea!"
"191";191;"Hylaeus imparalis";"Hylaeus imparilis";NA;NA;"Hylaeus imparilis";NA;NA
"192";192;"Hylaeus nigrita";"Hylaeus nigritus";NA;NA;"Hylaeus nigritus";NA;NA
"193";193;"Hylaeus spilotus";NA;NA;NA;"Remove";NA;"Great taxonomic confusion over this group of species. Very hard to assign a correct name to this, and the group needs a thorough revision"
"194";194;"Lasioglossum aegyptiellum";NA;NA;NA;"Remove";NA;"Not in Iberia, eastern species"
"195";195;"Lasioglossum albomaculatum";NA;NA;NA;"Remove";NA;"No idea!"
"196";196;"Lasioglossum arctifrons";NA;NA;NA;"Remove";NA;"Canarian species"
"197";197;"Lasioglossum castilianum";"Lasioglossum castillianum";NA;NA;"Lasioglossum castillianum";NA;NA
"198";198;"Lasioglossum chalcodes";NA;NA;NA;"Remove";NA;"Canarian species"
"199";199;"Lasioglossum clypeare";NA;NA;NA;"Lasioglossum clypeare";NA;NA
"200";200;"Lasioglossum convexiusculum";NA;NA;NA;"Lasioglossum convexiusculum";NA;NA
"201";201;"Lasioglossum gemmeus";NA;NA;NA;"Halictus gemmeus";NA;NA
"202";202;"Lasioglossum immaculatum";"Lasioglossum bimaculatum";NA;NA;"Remove";NA;"Maybe but hard to be sure, there are a lot of Lasioglossum names"
"203";203;"Lasioglossum laetum";NA;NA;NA;"Remove";NA;"Canarian species"
"204";204;"Lasioglossum lativentre/sexnotatum/laterale";NA;NA;"/";"Remove";NA;"Delete - user uncertainty"
"205";205;"Lasioglossum leucoleucozonium/immunitum";NA;NA;"/";"Remove";NA;"Delete - user uncertainty"
"206";206;"Lasioglossum malachurum/mediterraneum";NA;NA;"/";"Remove";NA;"Delete - user uncertainty"
"207";207;"Lasioglossum marginellum";NA;NA;NA;"Remove";NA;"Not confirmed from Spain"
"208";208;"Lasioglossum phoenicurum";NA;NA;NA;"Lasioglossum phoenicurum";NA;"Canarian species"
"209";209;"Lasioglossum planulum";NA;NA;NA;"Lasioglossum transitorium";"planulum";NA
"210";210;"Lasioglossum quadrinotatulus";"Lasioglossum quadrinotatulum";NA;NA;"Lasioglossum quadrinotatulum";NA;NA
"211";211;"Lasioglossum semilucens???";NA;NA;"???";"Remove";NA;"Delete - user uncertainty"
"212";212;"Lasioglossum sexnotatum?";"Lasioglossum sexnotatum";NA;"?";"Lasioglossum sexnotatum";NA;NA
"213";213;"Lasioglossum sextrigatum";"Lasioglossum sexstrigatum";NA;NA;"Lasioglossum sexstrigatum";NA;NA
"214";214;"Lasioglossum sphecodimorphum";"Lasioglossum sphecidomorphum";NA;NA;"Lasioglossum sphecidomorphum";NA;NA
"215";215;"Lasioglossum subhirtum???";NA;NA;"???";"Remove";NA;"Delete - user uncertainty"
"216";216;"Lasioglossum villosum";"Lasioglossum villosulum";NA;NA;"Lasioglossum villosulum";NA;NA
"217";217;"Lasioglossum viride";NA;NA;NA;"Remove";NA;"Canarian species"
"218";218;"Megachile albohirta";NA;NA;NA;"Remove";NA;"Canarian bee, taxonomically challenging, currently do not consider"
"219";219;"Megachile argentala";NA;NA;NA;"Remove";NA;"Old name (Megachile argentata) referring to what are currently referred to as M. pilidens and M. leachella. Very difficult to assign a correct name to this"
"220";220;"Megachile argentata";NA;NA;NA;"Remove";NA;"Old name (Megachile argentata) referring to what are currently referred to as M. pilidens and M. leachella. Very difficult to assign a correct name to this"
"221";221;"Megachile atratula";NA;NA;NA;"Megachile pusilla";NA;"Junior synonym"
"222";222;"Megachile baetica";NA;NA;NA;"Megachile parietina";NA;"Probably just a colour form of M. parietina"
"223";223;"Megachile canescens";NA;NA;NA;"Remove";NA;"Canarian species"
"224";224;"Megachile concinna";NA;NA;NA;"Megachile pusilla";NA;"Junior synonym"
"225";225;"Megachile dorsalis";NA;NA;NA;"Megachile leachella";NA;NA
"226";226;"Megachile melanogastra";"Megachile melanogaster";NA;NA;"Remove";NA;"Probably, but hard to say for certain"
"227";227;"Megachile mendica";NA;NA;NA;"Remove";NA;"No idea!"
"228";228;"Megachile picicornis";NA;NA;NA;"Megachile picicornis";NA;NA
"229";229;"Megachile schmiedeknechti";NA;NA;NA;"Remove";NA;"Not recorded from the Iberian peninsula"
"230";230;"Megachile sculpturalis";NA;NA;NA;"Megachile sculpturalis";NA;"Invasive Asian species, I had forgotten that this was now present in Spain"
"231";231;"Melecta canariensis";NA;NA;NA;"Remove";NA;"Canarian species"
"232";232;"Melecta caroli";NA;NA;NA;"Remove";NA;"Canarian species"
"233";233;"Melecta curvispina";NA;NA;NA;"Remove";NA;"Canarian species"
"234";234;"Melecta funeraria";NA;NA;NA;"Remove";NA;"Not present in the Iberian peninsula"
"235";235;"Melecta prophanta";NA;NA;NA;"Remove";NA;"Canarian species"
"236";236;"Melissodes bimaculatus";NA;NA;NA;"Remove";NA;"North American species!"
"237";237;"Melitta aegyptiaca";"Melecta aegyptiaca";NA;NA;"Remove";NA;"Canarian species"
"238";238;"Melitta kastliliensis";"Melitta kastiliensis";NA;NA;"Melitta kastiliensis";NA;NA
"239";239;"Melitta schmiedeknechti";NA;"Melitta schmiedeknechtii";NA;"Remove";NA;"Canarian species"
"240";240;"Melitturga cauadata";"Melitturga caudata";NA;NA;"Melitturga caudata";NA;NA
"241";241;"Nomada argentata";NA;NA;NA;"Remove";NA;"Not present in the Iberian peninsula"
"242";242;"Nomada maculicornis???";NA;NA;"???";"Remove";NA;"Delete - user uncertainty"
"243";243;"Nomada succinta";"Nomada succincta";NA;NA;"Nomada succincta";NA;NA
"244";244;"Nomia armata";"Nomada armata";NA;NA;"Remove";NA;"Possible, but need to ask the author, not safe to make this assumption"
"245";245;"Nomiapis bispinosa_agg";NA;NA;"_agg";"Pseudapis bispinosa";"aggregate";"There are two species in this group, we do need an aggregate"
"246";246;"Nomiapis diversipes";NA;NA;NA;"Pseudapis diversipes";NA;NA
"247";247;"Nomiapis femoralis";NA;NA;NA;"Pseudapis femoralis";NA;NA
"248";248;"Nomiapis valga";NA;NA;NA;"Pseudapis valga";NA;NA
"249";249;"Nomioides deceptor";NA;NA;NA;"Remove";NA;"Canarian species"
"250";250;"Nomioides fortunatus";NA;NA;NA;"Remove";NA;"Canarian species"
"251";251;"Nomioides variegata";NA;NA;NA;"Ceylalictus variegatus";NA;NA
"252";252;"Osmia adunca";NA;NA;NA;"Hoplitis adunca";NA;NA
"253";253;"Osmia ancey";"Osmia anceyi";NA;NA;"Osmia anceyi";NA;NA
"254";254;"Osmia cerinthidis";NA;NA;NA;"Remove";NA;NA
"255";255;"Osmia claviventris";NA;NA;NA;"Hoplitis claviventris";NA;NA
"256";256;"Osmia cyanthoxantha";"Osmia cyanoxantha";NA;NA;"Osmia cyanoxantha";NA;NA
"257";257;"Osmia fulviventris";NA;"Osmia niveata";NA;"Osmia niveata";NA;NA
"258";258;"Osmia neoregaena";NA;NA;NA;"Osmia cornuta";NA;NA
"259";259;"Osmia papaveris";NA;NA;NA;"Hoplitis papaveris";NA;NA
"260";260;"Osmia ravouxi";NA;NA;NA;"Hoplitis ravouxi";NA;NA
"261";261;"Osmia robusta";NA;NA;NA;"Remove";NA;"Hoplitis robusta, not present in the Iberian peninsula"
"262";262;"Osmia rufa";NA;NA;NA;"Osmia bicornis";NA;NA
"263";263;"Osmia rufa/aurulenta";NA;NA;"/";"Remove";NA;"Delete - user uncertainty"
"264";264;"Osmia rufa/aurulenta-alike";NA;NA;NA;"Remove";NA;"Delete - user uncertainty"
"265";265;"Osmia subimcans";"Osmia submicans";NA;NA;"Osmia submicans";NA;NA
"266";266;"Panurginus brullei";NA;NA;NA;"Remove";NA;"True brullei is on the Canaries only!!! If used in an Iberian context it is albopilosus"
"267";267;"Panurginus canescens";"Panurgus canescens";NA;NA;"Panurgus canescens";NA;NA
"268";268;"Panurgus arctos";NA;"Panurgus cephalotes";NA;"Panurgus cephalotes";NA;NA
"269";269;"Panurgus canarius";NA;NA;NA;"Remove";NA;"Canarian species"
"270";270;"Panurgus dargius/cephalotes";NA;NA;"/";"Remove";NA;"Delete - user uncertainty"
"271";271;"Panurgus dentatus";NA;NA;NA;"Remove";NA;"Could be a mis-spelling of Panurgus dentipes"
"272";272;"Panurgus intermedius";NA;NA;NA;"Remove";NA;"Not present in the Iberian peninsula"
"273";273;"Panurgus maroccanus";NA;NA;NA;"Remove";NA;"Not present in the Iberian peninsula"
"274";274;"Panurgus merceti";NA;"Flavipanurgus merceti";NA;"Flavipanurgus merceti";NA;NA
"275";275;"Panurgus pici";NA;NA;NA;"Panurgus pici";NA;NA
"276";276;"Pseudapis monstrosa";NA;NA;NA;"Remove";NA;"Not present in Iberia - misidentification"
"277";277;"Pseudapis unidentata";NA;NA;NA;"Remove";NA;"No idea!"
"278";278;"Pseudoanthidium lituratum";NA;"Pseudoanthidium scapulare";NA;"Pseudoanthidium nanum";"aggregate";"This group of Pseudoanthidium is highly confused and undergoing revision at the moment, best to include as P. nanum aggregate"
