"";"X.X.flag.checked.synonym_names.questionable.accepted_name.accepted_subspecies.Notes";"flag";"checked";"synonym_names";"questionable";"accepted_name";"accepted_subspecies";"Notes"
"29";"29;29;Andrena mediovittata;NA;NA;NA;Remove;NA;Canarian species: Andrena mediovittata arvensis";NA;NA;NA;NA;NA;NA;NA
"30";"30;30;Andrena nigroaenaea;Andrena nigroaenea;NA;NA;Andrena nigroaenea;NA;NA";NA;NA;NA;NA;NA;NA;NA
"31";"31;31;Andrena nuptialis;Andrena nuptualis;NA;NA;Andrena nuptialis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"32";"32;32;Andrena ovatula_agg;NA;NA;_agg;Andrena ovatula;aggregate;Multiple species present in Iberia, aggregate required";NA;NA;NA;NA;NA;NA;NA
"33";"33;33;Andrena ovulata;NA;NA;NA;Andrena ovatula;NA;NA";NA;NA;NA;NA;NA;NA;NA
"34";"34;34;Andrena pilipes_agg;NA;NA;_agg;Andrena pilipes;NA;NA";NA;NA;NA;NA;NA;NA;NA
"35";"35;35;Andrena proxima;NA;NA;NA;Andrena ampla;NA;Only one member of the proxima-group is present in Iberia, Andrena ampla";NA;NA;NA;NA;NA;NA;NA
"36";"36;36;Andrena proxima_agg;NA;NA;_agg;Andrena ampla;NA;Only one member of the proxima-group is present in Iberia, Andrena ampla";NA;NA;NA;NA;NA;NA;NA
"37";"37;37;Andrena rhyssonota;Andrena rhyssonata;NA;NA;Andrena rhyssonata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"38";"38;38;Andrena sagittaria;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"39";"39;39;Andrena savignyi;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"40";"40;40;Andrena scotica?;Andrena scotica;NA;?;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"41";"41;41;Andrena sinuata;NA;NA;NA;Remove;NA;The Canarian Andrena damara and Andrena sagittaria were split out from Andrena sinuata which is North African. Check the specific island to get the species identity";NA;NA;NA;NA;NA;NA;NA
"42";"42;42;Andrena spolata;Andrena polita;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"43";"43;43;Andrena squalida;NA;Andrena villipes;NA;Andrena villipes;NA;NA";NA;NA;NA;NA;NA;NA;NA
"44";"44;44;Andrena subopaca;NA;NA;NA;Andrena subopaca;NA;NA";NA;NA;NA;NA;NA;NA;NA
"45";"45;45;Andrena thomsonii;Andrena thomsoni;NA;NA;Andrena thomsoni;NA;NA";NA;NA;NA;NA;NA;NA;NA
"46";"46;46;Andrena vachali;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"47";"47;47;Andrena vaga;NA;NA;NA;Remove;NA;Not confirmed from Spain";NA;NA;NA;NA;NA;NA;NA
"48";"48;48;Andrena wollastoni;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"49";"49;49;Anthidium caturigense;NA;NA;NA;Rhodanthidium caturigense;NA;NA";NA;NA;NA;NA;NA;NA;NA
"50";"50;50;Anthidium eximium;NA;NA;NA;Pseudoanthidium eximium;NA;NA";NA;NA;NA;NA;NA;NA;NA
"51";"51;51;Anthidium ferrugineum;NA;NA;NA;Icteranthidium ferrugineum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"52";"52;52;Anthidium florentium;Anthidium florentinum;NA;NA;Anthidium florentinum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"53";"53;53;Anthidium fuscatum;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"54";"54;54;Anthidium grohmanni;NA;NA;NA;Icteranthidium grohmanni;NA;NA";NA;NA;NA;NA;NA;NA;NA
"55";"55;55;Anthidium laterale;NA;NA;NA;Icteranthidium laterale;NA;NA";NA;NA;NA;NA;NA;NA;NA
"56";"56;56;Anthidium laticeps;NA;NA;NA;Trachusa laticeps;NA;NA";NA;NA;NA;NA;NA;NA;NA
"57";"57;57;Anthidium lituratum;NA;Pseudoanthidium scapulare;NA;Pseudoanthidium nanum;aggregate;This group of Pseudoanthidium is highly confused and undergoing revision at the moment, best to include as P. nanum aggregate";NA;NA;NA;NA;NA;NA;NA
"58";"58;58;Anthidium reticulatum;NA;NA;NA;Pseudoanthidium reticulatum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"59";"59;59;Anthidium schultessii;NA;NA;NA;Afranthidium schulthessii;NA;NA";NA;NA;NA;NA;NA;NA;NA
"60";"60;60;Anthidium schulthessi;NA;NA;NA;Afranthidium schulthessii;NA;NA";NA;NA;NA;NA;NA;NA;NA
"61";"61;61;Anthidium septemdentatum;NA;NA;NA;Rhodanthidium septemdentatum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"62";"62;62;Anthidium siculum;NA;NA;NA;Rhodanthidium siculum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"63";"63;63;Anthidium sticticum;NA;NA;NA;Rhodanthidium sticticum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"64";"64;64;Anthidium strigatum;NA;NA;NA;Anthidiellum strigatum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"65";"65;65;Anthocopa anceyi;NA;Hoplosmia anceyi;NA;Osmia anceyi;NA;NA";NA;NA;NA;NA;NA;NA;NA
"66";"66;66;Anthocopa bidentata;NA;Hoplosmia bidentata;NA;Remove;NA;Not present in Iberia - greatly confused with Osmia anceyi and Osmia ligurica";NA;NA;NA;NA;NA;NA;NA
"67";"67;67;Anthocopa bisulca;NA;NA;NA;Hoplitis bisulca;NA;NA";NA;NA;NA;NA;NA;NA;NA
"68";"68;68;Anthocopa cristatitla;NA;NA;NA;Hoplitis cristatula;NA;NA";NA;NA;NA;NA;NA;NA;NA
"69";"69;69;Anthocopa ligurica;NA;Hoplosmia ligurica;NA;Osmia ligurica;NA;NA";NA;NA;NA;NA;NA;NA;NA
"70";"70;70;Anthocopa ononidis;NA;NA;NA;Osmia tergestensis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"71";"71;71;Anthocopa papaveris;NA;NA;NA;Hoplitis papaveris;NA;NA";NA;NA;NA;NA;NA;NA;NA
"72";"72;72;Anthophora acervorum;NA;NA;NA;Anthophora plumipes;NA;NA";NA;NA;NA;NA;NA;NA;NA
"73";"73;73;Anthophora alluaudi;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"74";"74;74;Anthophora biciliata;NA;NA;NA;Anthophora affinis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"75";"75;75;Anthophora dispar?;Anthophora dispar;NA;?;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"76";"76;76;Anthophora erschowi;NA;NA;NA;Remove;NA;Not known from Iberia";NA;NA;NA;NA;NA;NA;NA
"77";"77;77;Anthophora nigrilabris;NA;NA;NA;Remove;NA;Maybe referring to Eucera nigrilabris? Would need to ask the author";NA;NA;NA;NA;NA;NA;NA
"78";"78;78;Anthophora orotavae;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"79";"79;79;Anthophora pubescens;NA;NA;NA;Anthophora pubescens;NA;NA";NA;NA;NA;NA;NA;NA;NA
"80";"80;80;Anthophora pulverosa;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"81";"81;81;Anthophora purpuraria;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"82";"82;82;Anthophora quadricolor;NA;NA;NA;Anthophora gallica;NA;True quadricolor is a North African species";NA;NA;NA;NA;NA;NA;NA
"83";"83;83;Anthophora rutilans;NA;NA;NA;Remove;NA;Not confirmed from Spain";NA;NA;NA;NA;NA;NA;NA
"84";"84;84;Anthophora salviae;NA;NA;NA;Anthophora crinipes;NA;NA";NA;NA;NA;NA;NA;NA;NA
"85";"85;85;Anthophora senescens;Anthophora canescens;NA;NA;Anthophora senescens;NA;Certainly distinct from Anthophora canescens";NA;NA;NA;NA;NA;NA;NA
"86";"86;86;Anthophora subterranea;NA;Anthophorini;NA;Anthophora canescens;NA;NA";NA;NA;NA;NA;NA;NA;NA
"87";"87;87;Anthophora testaceipes;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"88";"88;88;Anthophora thomsoni;NA;NA;NA;Anthophora atriceps;NA;NA";NA;NA;NA;NA;NA;NA;NA
"89";"89;89;Apis henshawi;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"90";"90;90;Apis manicatum;NA;NA;NA;Remove;NA;Probably Anthidium manicatum, but this must be from a really old paper";NA;NA;NA;NA;NA;NA;NA
"91";"91;91;Apis melifera;Apis mellifera;NA;NA;Apis mellifera;NA;NA";NA;NA;NA;NA;NA;NA;NA
"92";"92;92;Apis villosa;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"93";"93;93;Bombus cerdanyensis;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"94";"94;94;Bombus cornutus;NA;NA;NA;Remove;NA;Osmia cornuta?";NA;NA;NA;NA;NA;NA;NA
"95";"95;95;Bombus inexspectatus;Bombus inexpectatus;NA;NA;Bombus inexpectatus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"96";"96;96;Bombus laponicus;NA;NA;NA;Remove;NA;Not in Iberia";NA;NA;NA;NA;NA;NA;NA
"97";"97;97;Bombus maxillosus;NA;NA;NA;Bombus barbutellus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"98";"98;98;Bombus mocsaryi;NA;NA;NA;Bombus laesus;NA;New synonymy";NA;NA;NA;NA;NA;NA;NA
"99";"99;99;Bombus pascuroum;Bombus pascuorum;NA;NA;Bombus pascuorum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"100";"100;100;Bombus pauloensis;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"101";"101;101;Bombus reinigiellus;NA;NA;NA;Bombus hortorum;NA;New synonymy, will be published this year";NA;NA;NA;NA;NA;NA;NA
"102";"102;102;Ceratina albosticta;NA;NA;NA;Remove;NA;Not in Iberia, confused with Ceratina cyanea";NA;NA;NA;NA;NA;NA;NA
"103";"103;103;Ceratina centriventis;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"104";"104;104;Ceratina cucurbitula;Ceratina cucurbitina;NA;NA;Ceratina cucurbitina;NA;NA";NA;NA;NA;NA;NA;NA;NA
"105";"105;105;Chalicodoma albonotata;NA;NA;NA;Megachile albonotata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"106";"106;106;Chalicodoma ericetorum;NA;NA;NA;Megachile ericetorum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"107";"107;107;Chalicodoma parietina;NA;NA;NA;Megachile parietina;NA;NA";NA;NA;NA;NA;NA;NA;NA
"108";"108;108;Chalicodoma pyrenaica;NA;NA;NA;Megachile pyrenaica;NA;NA";NA;NA;NA;NA;NA;NA;NA
"109";"109;109;Chalicodoma sicula;NA;NA;NA;Megachile sicula;NA;NA";NA;NA;NA;NA;NA;NA;NA
"110";"110;110;Chelostoma campanulorum;Chelostoma campanularum;NA;NA;Chelostoma campanularum;NA;NA";NA;NA;NA;NA;NA;NA;NA
"111";"111;111;Chelostoma florisomnis;Chelostoma florisomne;NA;NA;Chelostoma florisomne;NA;NA";NA;NA;NA;NA;NA;NA;NA
"112";"112;112;Chelostoma lucens;NA;NA;NA;Remove;NA;Not in Iberia, eastern species";NA;NA;NA;NA;NA;NA;NA
"113";"113;113;Coelioxys acanthura;Coelioxys acanthurus;NA;NA;Coelioxys acanthurus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"114";"114;114;Coelioxys afra;Coelioxys afer;NA;NA;Coelioxys afer;NA;NA";NA;NA;NA;NA;NA;NA;NA
"115";"115;115;Coelioxys allocoelioxys;NA;NA;NA;Remove;NA;Just reported at subgeneric level, delete";NA;NA;NA;NA;NA;NA;NA
"116";"116;116;Coelioxys aurolimbata;Coelioxys atrolimbata;NA;NA;Coelioxys aurolimbatus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"117";"117;117;Coelioxys conoidea;Coelioxys conoideus;NA;NA;Coelioxys conoideus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"118";"118;118;Coelioxys echinata;Coelioxys echinatus;NA;NA;Coelioxys echinatus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"119";"119;119;Coelioxys elongata;Coelioxys elongatus;NA;NA;Coelioxys elongatus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"120";"120;120;Coelioxys haemorrhous;Coelioxys haemorrhoa;NA;NA;Coelioxys haemorrhoa;NA;NA";NA;NA;NA;NA;NA;NA;NA
"121";"121;121;Coelioxys haemorroa;Coelioxys haemorrhoa;NA;NA;Coelioxys haemorrhoa;NA;NA";NA;NA;NA;NA;NA;NA;NA
"122";"122;122;Coelioxys obtusa;Coelioxys obtusus;NA;NA;Coelioxys obtusus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"123";"123;123;Coelioxys rufocaudata;NA;NA;NA;Coelioxys echinatus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"124";"124;124;Colletes caspicus;NA;NA;NA;Remove;NA;Not in Iberia";NA;NA;NA;NA;NA;NA;NA
"125";"125;125;Colletes cunicularius;Colletes cunicularis;NA;NA;Colletes cunicularis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"126";"126;126;Colletes hylaeiformis;Colletes hylaeformis;NA;NA;Colletes hylaeformis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"127";"127;127;Colletes ibericus;NA;NA;NA;Colletes pulchellus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"128";"128;128;Colletes jankowskyi;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"129";"129;129;Colletes succintus;Colletes succinctus;NA;NA;Colletes succinctus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"130";"130;130;Creightonella albisecta;NA;NA;NA;Megachile albisecta;NA;NA";NA;NA;NA;NA;NA;NA;NA
"131";"131;131;Dasypoda altercator;NA;Dasypoda hirtipes;NA;Dasypoda hirtipes;NA;NA";NA;NA;NA;NA;NA;NA;NA
"132";"132;132;Dasypoda sinuata;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"133";"133;133;Dioxys cincta;Dioxys cinctus;NA;NA;Dioxys cinctus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"134";"134;134;Dioxys moesta;Dioxys moestus;NA;NA;Dioxys moestus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"135";"135;135;Dioxys rotundata;NA;NA;NA;Dioxys moestus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"136";"136;136;Dufourea fortunata;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"137";"137;137;Epeolus flavociliatus;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"138";"138;138;Epeolus julliani;NA;NA;NA;Epeolus transitorius;NA;julliani is the junior synonym";NA;NA;NA;NA;NA;NA;NA
"139";"139;139;Eucera algira;NA;NA;NA;Eucera algira;NA;NA";NA;NA;NA;NA;NA;NA;NA
"140";"140;140;Eucera atroalba;NA;NA;NA;Eucera brachycera;NA;NA";NA;NA;NA;NA;NA;NA;NA
"141";"141;141;Eucera bolivari;NA;Eucera decolorata;NA;Eucera decolorata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"142";"142;142;Eucera cinerea;NA;NA;NA;Eucera cineraria;NA;NA";NA;NA;NA;NA;NA;NA;NA
"143";"143;143;Eucera doursana;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"144";"144;144;Eucera elongata;Eucera elongatula;NA;NA;Eucera elongatula;NA;NA";NA;NA;NA;NA;NA;NA;NA
"145";"145;145;Eucera fallax;NA;Eucera syriaca;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"146";"146;146;Eucera gracilipes;NA;NA;NA;Eucera gracilipes;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"147";"147;147;Eucera graeca;Eucera graja;NA;NA;Eucera graja;NA;NA";NA;NA;NA;NA;NA;NA;NA
"148";"148;148;Eucera grandis;NA;NA;NA;Eucera rufa;NA;NA";NA;NA;NA;NA;NA;NA;NA
"149";"149;149;Eucera grisea;NA;Eucera eucnemidea;NA;Eucera eucnemidea;NA;NA";NA;NA;NA;NA;NA;NA;NA
"150";"150;150;Eucera helvola;NA;NA;NA;Remove;NA;Not in Iberia, eastern species";NA;NA;NA;NA;NA;NA;NA
"151";"151;151;Eucera hispanica?;NA;NA;?;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"152";"152;152;Eucera nitidiventris;NA;NA;NA;Eucera proxima;NA;NA";NA;NA;NA;NA;NA;NA;NA
"153";"153;153;Eucera obliberata;Eucera obliterata;NA;NA;Eucera obliterata;NA;NA";NA;NA;NA;NA;NA;NA;NA
"154";"154;154;Eucera pulveracea;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"155";"155;155;Eucera sogdiana;NA;NA;NA;Remove;NA;Not in Iberia, eastern species";NA;NA;NA;NA;NA;NA;NA
"156";"156;156;Eucera trivittata;NA;Eucera seminuda;NA;Remove;NA;syn Eucera seminuda, not in Iberia, eastern species";NA;NA;NA;NA;NA;NA;NA
"157";"157;157;Eucera tuberculata;NA;NA;NA;Eucera nigrescens;NA;NA";NA;NA;NA;NA;NA;NA;NA
"158";"158;158;Eucera vidua;NA;NA;NA;Remove;NA;North African species";NA;NA;NA;NA;NA;NA;NA
"159";"159;159;Flavipanurgus ibericus_agg;NA;NA;_agg;Flavipanurgus ibericus;aggregate;This is necessary since the former concept of ibericus contains F. ibericus s.s. and F. kastiliensis";NA;NA;NA;NA;NA;NA;NA
"160";"160;160;Flavipanurgus venustus;NA;NA;NA;Flavipanurgus venustus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"161";"161;161;Halictus allratus;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"162";"162;162;Halictus balearicus;NA;NA;NA;Halictus balearicus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"163";"163;163;Halictus cephalicus;NA;NA;NA;Remove;NA;Not in Iberia, eastern species";NA;NA;NA;NA;NA;NA;NA
"164";"164;164;Halictus compressus;NA;NA;NA;Remove;NA;Part of a complicated group, true compressus is not in Iberia, could be listed as Halictus crenicornis aggregate";NA;NA;NA;NA;NA;NA;NA
"165";"165;165;Halictus concinnus;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
"166";"166;166;Halictus kassleri;Halictus kessleri;NA;NA;Halictus kessleri;NA;NA";NA;NA;NA;NA;NA;NA;NA
"167";"167;167;Halictus petrefactus;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"168";"168;168;Halictus quadricinctus;Halictus quadricintus;NA;NA;Halictus quadricintus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"169";"169;169;Halictus sedalonius;Halictus seladonius;NA;NA;Halictus seladonius;NA;NA";NA;NA;NA;NA;NA;NA;NA
"170";"170;170;Halictus seladonia-smaragdulus;NA;NA;NA;Remove;NA;Delete - user uncertainty";NA;NA;NA;NA;NA;NA;NA
"171";"171;171;Halictus tetrazonius;NA;NA;NA;Remove;NA;Historic confusion, H. tetrazonius is not in Iberia";NA;NA;NA;NA;NA;NA;NA
"172";"172;172;Halictus tripartitus;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"173";"173;173;Heriades crenulata;Heriades crenulatus;NA;NA;Heriades crenulatus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"174";"174;174;Heriades rubicolus;Heriades rubicola;NA;NA;Heriades rubicola;NA;NA";NA;NA;NA;NA;NA;NA;NA
"175";"175;175;Hoplitis anceyi;NA;NA;NA;Osmia anceyi;NA;NA";NA;NA;NA;NA;NA;NA;NA
"176";"176;176;Hoplitis andrenoides;NA;Osmia andrenoides;NA;Osmia andrenoides;NA;NA";NA;NA;NA;NA;NA;NA;NA
"177";"177;177;Hoplitis crenidata;Hoplitis crenulata;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"178";"178;178;Hoplitis leucomelaena;Hoplitis leucomelana;NA;NA;Hoplitis leucomelana;NA;NA";NA;NA;NA;NA;NA;NA;NA
"179";"179;179;Hoplitis ligurica;NA;NA;NA;Osmia ligurica;NA;NA";NA;NA;NA;NA;NA;NA;NA
"180";"180;180;Hoplitis mucida;NA;NA;NA;Hoplitis stecki;NA;Raised to full species status, true mucida is in North Africa and the Middle East";NA;NA;NA;NA;NA;NA;NA
"181";"181;181;Hoplitis paestrans;Hoplitis praestans;NA;NA;Hoplitis praestans;NA;NA";NA;NA;NA;NA;NA;NA;NA
"182";"182;182;Hoplitis rufohirta;NA;NA;NA;Osmia rufohirta;NA;NA";NA;NA;NA;NA;NA;NA;NA
"183";"183;183;Hoplitis scutellaris;NA;NA;NA;Osmia scutellaris;NA;NA";NA;NA;NA;NA;NA;NA;NA
"184";"184;184;Hoplitis spinolae;NA;NA;NA;Hoplitis adunca;NA;NA";NA;NA;NA;NA;NA;NA;NA
"185";"185;185;Hoplosmia anceyi;NA;NA;NA;Osmia anceyi;NA;NA";NA;NA;NA;NA;NA;NA;NA
"186";"186;186;Hoplosmia fallax;NA;NA;NA;Osmia fallax;NA;NA";NA;NA;NA;NA;NA;NA;NA
"187";"187;187;Hoplosmia ligurica;NA;NA;NA;Osmia ligurica;NA;NA";NA;NA;NA;NA;NA;NA;NA
"188";"188;188;Hylaeus adriaticus;NA;NA;NA;Remove;NA;Not in Iberia";NA;NA;NA;NA;NA;NA;NA
"189";"189;189;Hylaeus difformis;Hylaeus diffiformis;NA;NA;Hylaeus diffiformis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"190";"190;190;Hylaeus diplonymus;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"191";"191;191;Hylaeus imparalis;Hylaeus imparilis;NA;NA;Hylaeus imparilis;NA;NA";NA;NA;NA;NA;NA;NA;NA
"192";"192;192;Hylaeus nigrita;Hylaeus nigritus;NA;NA;Hylaeus nigritus;NA;NA";NA;NA;NA;NA;NA;NA;NA
"193";"193;193;Hylaeus spilotus;NA;NA;NA;Remove;NA;Great taxonomic confusion over this group of species. Very hard to assign a correct name to this, and the group needs a thorough revision";NA;NA;NA;NA;NA;NA;NA
"194";"194;194;Lasioglossum aegyptiellum;NA;NA;NA;Remove;NA;Not in Iberia, eastern species";NA;NA;NA;NA;NA;NA;NA
"195";"195;195;Lasioglossum albomaculatum;NA;NA;NA;Remove;NA;No idea!";NA;NA;NA;NA;NA;NA;NA
"196";"196;196;Lasioglossum arctifrons;NA;NA;NA;Remove;NA;Canarian species";NA;NA;NA;NA;NA;NA;NA
