"Colletes.species","author","country","longitude","latitude","date","Coll../.source"
"abeillei","PEREZ","PORTUGAL","W08.51","N37.17","2009-05-31","Prosi"
"abeillei","PÉREZ","PORTUGAL","W08.52","N37.12","2014-09-18","D. Baldock"
"abeillei","PÉREZ","PORTUGAL","W08.52","N37.19","2017-05-17","D. Baldock"
"abeillei","PÉREZ","PORTUGAL","W08.55","N37.01","1995-05-15","Schwarz"
"abeillei","PÉREZ","PORTUGAL","W08.56","N37.01","1995-05-07","Schwarz"
"abeillei","PÉREZ","PORTUGAL","W08.59","N38.29 ","2011-09-30","Baldock"
"abeillei","PEREZ","PORTUGAL","W09.06","N38.26","2011-06-03","Baldock"
"abeillei","PÉREZ","PORTUGAL","W09.11","N38.39","4.-13.9.85","Risch"
"abeillei","PÉREZ","PORTUGAL","W09.11","N38.39","24.5.-13.6.85","Risch"
"abeillei","PÉREZ","PORTUGAL","W09.11","N38.39","14.9.-14.10.85","Kuhlmann"
"abeillei","PEREZ","PORTUGAL","W09.13","N38.25","4.-5.6.2011","Baldock"
"abeillei","PÉREZ","PORTUGAL","W09.19","N38.41","1956-04-29","Museo Zoologico de Coimbra"
"abeillei","PÉREZ","PORTUGAL","W09.19","N38.41","1953-06-13","Museo Zoologico de Coimbra"
"abeillei","PÉREZ","PORTUGAL","W09.23","N38.42","1944-02-22","Natural History Museum, London"
"abeillei","PÉREZ","SPAIN","E00.02","N38.43","1997-09-28","Scheuchl"
"abeillei","PÉREZ","SPAIN","E00.30","N41.13","2000-05-06","Scheuchl"
"abeillei","PÉREZ","SPAIN","E00.50","N41.07","1.-5.6.2008","USDA, Logan, Utah"
"abeillei","PÉREZ","SPAIN","E01.14","N41.07","M.6.1961","ETH Zürich, Entomologische Sammlungen"
"abeillei","PÉREZ","SPAIN","E01.18","N41.07","1960-05-28","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","E01.22.51","N42.07.26","2019-06-09","Wim Klein, Naturalis"
"abeillei","PÉREZ","SPAIN","E01.54","N41.33","1955-05-21","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","E02.32","N42.13","1999-06-25","Exkursion Uni Bielefeld"
"abeillei","PÉREZ","SPAIN","E02.44","N41.39","1987-06-15","Schwarz"
"abeillei","PÈREZ","SPAIN","E03.00","N39.30","1905-03-04","Museo Nacional de Ciencias Naturales, Madrid"
"abeillei","PÉREZ","SPAIN","E03.00","N39.30","1995-04-20","F. Amiet"
"abeillei","PÉREZ","SPAIN","E03.00","N39.30","2003-09-21","Natural History Museum, London"
"abeillei","PÉREZ","SPAIN","E03.00","N39.30","2003-09-24","Natural History Museum, London"
"abeillei","PEREZ","SPAIN","E03.02","N39.43","2010-05-24","Baldock"
"abeillei","PEREZ","SPAIN","E03.02","N39.43","2009-06-02","Baldock"
"abeillei","PEREZ","SPAIN","E03.02","N39.43","2009-05-20","Baldock"
"abeillei","PEREZ","SPAIN","E03.07","N39.46","1.-15.6.1984","Baldock"
"abeillei","PEREZ","SPAIN","E03.08.06","N39.46.49","2007-05-18","Baldock"
"abeillei","PEREZ","SPAIN","E03.08.06","N39.46.49","2007-05-17","Baldock"
"abeillei","PEREZ","SPAIN","E03.08.06","N39.46.49","2007-05-20","Baldock"
"abeillei","PÉREZ","SPAIN","E03.10.16","N42.19.25","2019-06-14","Wim Klein, Naturalis"
"abeillei","PÉREZ","SPAIN","E03.25","N39.44","2014-05-18","D. Baldock"
"abeillei","PÉREZ","SPAIN","E03.25","N39.44","2012-05-23","Baldock"
"abeillei","PÉREZ","SPAIN","E03.26","N39.42","2010-06-02","Baldock"
"abeillei","PÉREZ","SPAIN","E03.26","N39.42","2009-05-12","Baldock"
"abeillei","PÉREZ","SPAIN","E04.02","N39.58","1991-10-03","Kuhlmann"
"abeillei","PÉREZ","SPAIN","E04.02","N39.58","1991-10-11","Burger"
"abeillei","PÉREZ","SPAIN","E04.02","N39.58","1991-10-03","Burger"
"abeillei","PÉREZ","SPAIN","W00.07","N38.32","1974-10-02","Gembloux"
"abeillei","PÉREZ","SPAIN","W00.07","N38.32","1974-10-04","Gembloux"
"abeillei","PÉREZ","SPAIN","W00.11","N38.41","1997-09-24","Scheuchl"
"abeillei","PÉREZ","SPAIN","W00.16","N39.40","1952-10-14","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","W00.30","N38.38","2008-06-06","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W00.34","N38.31","2008-06-06","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W00.57","N37.49","2006-10-14","Scheuchl"
"abeillei","PÉREZ","SPAIN","W01.16","N37.41","2006-10-13","Scheuchl"
"abeillei","PÉREZ","SPAIN","W01.25","N37.51","2000-04-29","Scheuchl"
"abeillei","PÉREZ","SPAIN","W01.25","N37.51","2001-04-30","Scheuchl"
"abeillei","PÉREZ","SPAIN","W01.25","N37.51","2004-10-10","Scheuchl"
"abeillei","PÉREZ","SPAIN","W01.41","N37.40","1974-06-03","USDA, Logan, Utah"
"abeillei","PÉREZ","SPAIN","W02.07","N37.06","1991-10-11","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W02.09","N38.53","1983-10-03","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","W02.09.16","N36.51.56","2019-05-25","Smit"
"abeillei","PÉREZ","SPAIN","W02.09.18","N36.51.41","2018-05-31","Smit"
"abeillei","PÉREZ","SPAIN","W02.12","N36.58","1991-10-04","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W02.12.11","N36.59.10","2018-05-22","Smit"
"abeillei","PÉREZ","SPAIN","W02.12.19","N36.59.36","2019-05-26","Smit"
"abeillei","PÉREZ","SPAIN","W02.13.02","N36.55.25","2018-05-28","Smit"
"abeillei","PÉREZ","SPAIN","W02.13.15","N36.59.11","2018-05-24","Smit"
"abeillei","PÉREZ","SPAIN","W02.13.15","N36.59.23","2019-05-27","Smit"
"abeillei","PÉREZ","SPAIN","W02.13.23","N36.59.41","2018-05-26","Smit"
"abeillei","PÉREZ","SPAIN","W02.13.53","N36.59.08","2019-05-22","Smit"
"abeillei","PÉREZ","SPAIN","W02.14.04","N36.59.05","2018-05-21","Smit"
"abeillei","PÉREZ","SPAIN","W02.14.04","N36.59.05","2018-05-22","Smit"
"abeillei","PÉREZ","SPAIN","W02.27","N36.56","1983-10-09","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","W02.32","N37.07","1991-09-29","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W02.34","N41.45","1969-07-13","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","W02.36","N36.53","1991-09-12","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W02.37","N38.34","2008-04-26","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W02.38","N37.06","1989-10-12","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W02.46","N37.08","1989-10-12","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W02.47","N36.42","2008-07-02","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W02.51","N36.49","1989-10-13","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W02.51","N36.49","2007-06-14","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W02.51","N36.49","1989-10-13","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W02.59","N37.01","1988-06-24","Schwarz"
"abeillei","PÉREZ","SPAIN","W03.00","N37.05","18.-24.7.1980","Natural History Museum, London"
"abeillei","PÉREZ","SPAIN","W03.00","N37.55","16.-19.6.1955","Natural History Museum, London"
"abeillei","PÉREZ","SPAIN","W03.01","N36.53","1991-09-22","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W03.03","N37.55","1974-05-28","USDA, Logan, Utah"
"abeillei","PÉREZ","SPAIN","W03.03","N38.16","21.-24.6.1955","Natural History Museum, London"
"abeillei","PÉREZ","SPAIN","W03.09","N36.59","1988-10-18","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W03.10","N37.00","1973-09-15","Natural History Museum, London"
"abeillei","PÉREZ","SPAIN","W03.19","N36.56","2014-05-23","Smit"
"abeillei","PÉREZ","SPAIN","W03.19","N36.56","2014-05-10","Smit"
"abeillei","PÉREZ","SPAIN","W03.19","N36.56","2014-05-14","Smit"
"abeillei","PÉREZ","SPAIN","W03.19","N36.55","2014-05-17","Smit"
"abeillei","PÉREZ","SPAIN","W03.20","N36.55","2014-05-22","Smit"
"abeillei","PÉREZ","SPAIN","W03.24","N36.47","2007-06-10","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W03.26","N37.09","1988-10-05","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W03.30","N38.20","1961-06-16","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","W03.30","N38.22","1961-06-17","National Museum of Natural History, Leiden/Kuhlmann(3w)"
"abeillei","PÉREZ","SPAIN","W03.30","N38.22","1958-05-25","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","W03.31","N37.13","1981-05-20","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W03.31","N37.13","2006-05-21","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W03.32","N37.08","2007-06-17","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W03.36","N38.16","1952-09-16","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","W03.41","N36.44","1982-10-10","National Museum of Natural History, Leiden"
"abeillei","PÈREZ","SPAIN","W03.42","N40.25","1949-05-05","Museo Nacional de Ciencias Naturales, Madrid"
"abeillei","PÈREZ","SPAIN","W03.42","N40.25","1956-06-11","Museo Nacional de Ciencias Naturales, Madrid"
"abeillei","PÉREZ","SPAIN","W03.42","N40.25","1978-06-01","Museo Nacional de Ciencias Naturales, Madrid"
"abeillei","PÉREZ","SPAIN","W03.46","N40.31","1979-06-07","Museo Nacional de Ciencias Naturales, Madrid"
"abeillei","PÉREZ","SPAIN","W03.48","N40.26","1905-05-14","Museo Nacional de Ciencias Naturales, Madrid"
"abeillei","PÉREZ","SPAIN","W03.48","N40.38","1979-06-03","Natural History Museum, London"
"abeillei","PÉREZ","SPAIN","W03.52","N36.44","1982-10-10","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","W03.53","N36.47","2005-05-13","Vereecken"
"abeillei","PÉREZ","SPAIN","W03.54","N37.03","1983-05-28","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","W04.00","N40.18","1983-06-07","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","W04.01","N39.51","1979-05-28","Natural History Museum, London"
"abeillei","PÉREZ","SPAIN","W04.01","N40.47","2019-07-18","T.Wood"
"abeillei","PÉREZ","SPAIN","W04.07","N40.35","1943-06-15","Museo Nacional de Ciencias Naturales, Madrid"
"abeillei","PÉREZ","SPAIN","W04.07","N40.35","1984-07-01","Museo Nacional de Ciencias Naturales, Madrid"
"abeillei","PÉREZ","SPAIN","W04.18.22","N36.52.27","2016-06-08","Smit"
"abeillei","PÉREZ","SPAIN","W04.23","N40.14","1985-05-30","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","W04.27.58","N36.40.38","2013-05-23","Smit"
"abeillei","PÉREZ","SPAIN","W04.27.58","N36.40.38","2013-05-20","Smit"
"abeillei","PÉREZ","SPAIN","W04.27.58","N36.40.38","2013-05-18","Smit"
"abeillei","PEREZ","SPAIN","W04.32","N40.35","2010-06-03","Prosi"
"abeillei","PÉREZ","SPAIN","W04.34.29","N36.39.02","2013-05-15","Smit"
"abeillei","PÉREZ","SPAIN","W04.40.28","N36.43.45","2013-05-16","Smit"
"abeillei","PÈREZ","SPAIN","W04.41","N40.39","1965-10-21","Museo Nacional de Ciencias Naturales, Madrid"
"abeillei","PÉREZ","SPAIN","W04.49","N41.40","12.-15.6.1974","USDA, Logan, Utah"
"abeillei","PÉREZ","SPAIN","W04.49","N38.56","2009-05-30","J. Ortiz-Sanchez"
"abeillei","PÉREZ","SPAIN","W04.59","N36.29","12.-15.5.1960","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","W05.05","N37.04","2014-09-14","Baldock"
"abeillei","PÉREZ","SPAIN","W05.05","N37.04","2014-09-30","Baldock"
"abeillei","PÉREZ","SPAIN","W05.05","N37.04","2015-09-20","Oxford University Museum"
"abeillei","PÉREZ","SPAIN","W05.05","N37.04","2015-09-27","Oxford University Museum"
"abeillei","PÉREZ","SPAIN","W05.05","N37.04","2016-10-02","Oxford University Museum"
"abeillei","PÉREZ","SPAIN","W05.05","N37.04","2016-09-25","Oxford University Museum"
"abeillei","PÉREZ","SPAIN","W05.05","N37.04","2012-06-02","Oxford University Museum"
"abeillei","PÉREZ","SPAIN","W05.10.50","N36.50.06","2017-06-06","Smit"
"abeillei","PÉREZ","SPAIN","W05.41","N40.15","1961-06-22","National Museum of Natural History, Leiden"
"abeillei","PÉREZ","SPAIN","W06.07","N36.41","10.-12.9.1961","Kuhlmann"
"abeillei","PÉREZ","SPAIN","W06.22.08","N37.17.05","2015-06-07","Smit"
"abeillei","PÉREZ","SPAIN","W06.37.04","N37.55.23","2015-06-10","Smit"
"abeillei","PÉREZ","SPAIN","W06.43","N40.10","1995-05-22","Zoölogisch Museum Amsterdam"
"acutiformis","NOSKIEWICZ","PORTUGAL","W08.51","N37.18","2005-05-02","Coll. Smit, Duiven"
"acutiformis","NOSKIEWICZ","SPAIN","W05.58.45","N41.34.49","2019-05-21","Kuhlmann"
"acutus","PÉREZ","PORTUGAL","W07.25","N37.12",NA,"Museo Zoologico de Coimbra"
"acutus","PÉREZ","PORTUGAL","W07.30","N37.10","2014-04-22","E. Dufrene"
"acutus","PÉREZ","PORTUGAL","W07.46","N37.21","2016-04-24","Baldock"
"acutus","PÉREZ","PORTUGAL","W08.06","N37.04","1985-04-22","O.Ö. Landesmuseum, Linz (Coll. Warncke)"
"acutus","PÉREZ","PORTUGAL","W08.15","N37.05","14.-24.3.1995","Zoölogisch Museum Amsterdam"
"acutus","PÉREZ","PORTUGAL","W08.17","N37.07","2004-04-28","Natural History Museum, London"
"acutus","PÉREZ","PORTUGAL","W08.17","N37.07","2009-03-12","Baldock/Kuhlmann(3m)"
"acutus","PÉREZ","PORTUGAL","W08.43","N41.18","2016-03-23","D. Baldock"
"acutus","PÉREZ","PORTUGAL","W08.46","N37.25","2015-03-28","Baldock"
"acutus","PÉREZ","PORTUGAL","W08.47","N37.43","2015-03-29","Baldock"
"acutus","PÉREZ","PORTUGAL","W08.54","N37.11","2014-04-05","Baldock"
"acutus","PÉREZ","PORTUGAL","W08.55","N37.07","1997-04-01","Hartmann"
"acutus","PÉREZ","PORTUGAL","W09.19","N38.41","1956-05-06","Museo Zoologico de Coimbra"
"acutus","PÉREZ","PORTUGAL","W09.19","N38.41","1955-04-26","Museo Zoologico de Coimbra"
"acutus","PÉREZ","PORTUGAL","W09.19","N38.41","1955-04-17","Museo Zoologico de Coimbra"
"acutus","PÉREZ","SPAIN","E01.21","N38.52","2016-04-24","Baldock"
"acutus","PÉREZ","SPAIN","E01.25","N39.00","10.4.1883","(NOSKIEWICZ 1936)"
"acutus","PÉREZ","SPAIN","E01.30","N39.00","20.4.1883","O.Ö. Landesmuseum, Linz (Coll. Warncke)"
"acutus","PÉREZ","SPAIN","E01.30","N39.00","1975-04-12","Zoölogisch Museum Amsterdam"
"acutus","PÉREZ","SPAIN","W00.51","N38.32","2013-04-04","Schwenninger"
"acutus","PÉREZ","SPAIN","W02.09","N36.50","2014-03-25","Bogusch"
"acutus","PÉREZ","SPAIN","W04.45","N37.17","2009-03-27","J. Ortiz-Sanchez"
"acutus","PÉREZ","SPAIN","W05.05","N37.04","2012-03-14","Oxford University Museum"
"acutus","PÉREZ","SPAIN","W05.21","N36.08","Jahr 1910","NHML"
"acutus","PÉREZ","SPAIN","W06.05","N36.16","2014-04-01","Baldock"
"acutus","PEREZ","SPAIN","W06.10","N36.21","2010-04-08","Schmid-Egger"
"acutus","PÉREZ","SPAIN","W06.13","N36.36",NA,"(NOSKIEWICZ 1936)"
"acutus","PÉREZ","SPAIN","W06.15","N36.28","1965-04-25","Museum Luzern"
"acutus","PÉREZ","SPAIN","W06.19","N36.49","22.-25.4.1979","O.Ö. Landesmuseum, Linz (Coll. Warncke)"
"acutus","PÉREZ","SPAIN","W06.19","N36.49","1980-04-15","O.Ö. Landesmuseum, Linz (Coll. Warncke)"
"acutus","PÉREZ","SPAIN","W06.20.12","N37.15.54","2012-04-13","Smit / Kuhlmann"
"acutus","PÉREZ","SPAIN","W06.22","N37.17","2009-03-28","J. Ortiz-Sanchez"
"acutus","PÉREZ","SPAIN","W06.25.16","N37.07.55","2003-04-20","Natural History Museum, London/Kuhlmann(1w)"
"acutus","PÉREZ","SPAIN","W06.26.16","N37.07.10","2003-04-04","Kuhlmann"
"acutus","PÉREZ","SPAIN","W06.26.16","N37.07.10","2003-04-05","Roberts/Kuhlmann(5m)"
"acutus","PÉREZ","SPAIN","W06.27.39","N37.08.01","2003-04-04","Roberts"
"acutus","PEREZ","SPAIN","W06.31","N36.59","2010-04-08","Schmid-Egger/Kuhlmann(2w, 2m)"
"acutus","PÉREZ","SPAIN","W06.45","N37.06","1984-04-11","National Museum of Natural History, Leiden/Kuhlmann(2m)"
"acutus","PÉREZ","SPAIN","W06.53","N37.13","2008-03-27","J. Ortiz-Sanchez"
"acutus","PÉREZ","SPAIN","W07.07","N37.13","2012-03-12","D. Baldock"
"albomaculatus","(LUCAS)","PORTUGAL","W07.41","N37.04","1997-03-29","Hartmann"
"albomaculatus","(LUCAS)","PORTUGAL","W07.58","N37.03","1990-04-18","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","PORTUGAL","W07.58","N37.03","1987-03-29","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","PORTUGAL","W08.00","N37.46","2008-05-14","Prosi"
"albomaculatus","(LUCAS)","PORTUGAL","W08.00","N37.46","2008-05-15","Prosi"
"albomaculatus","(LUCAS)","PORTUGAL","W08.26","N37.11","1997-04-05","Hartmann"
"albomaculatus","(LUCAS)","PORTUGAL","W08.32","N37.07","1951-08-14","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","PORTUGAL","W08.44","N37.05","1997-04-08","Hartmann/Kuhlmann(1w/1m)"
"albomaculatus","(LUCAS)","PORTUGAL","W08.47","N37.39","2012-05-21","Baldock"
"albomaculatus","(LUCAS)","PORTUGAL","W08.50","N37.03","1997-04-07","Hartmann/Kuhlmann(1w)"
"albomaculatus","(LUCAS)","PORTUGAL","W08.50","N37.20","2005-05-02","Coll. Smit, Duiven"
"albomaculatus","(LUCAS)","PORTUGAL","W08.54","N37.11","1995-05-08","Schwarz"
"albomaculatus","(LUCAS)","PORTUGAL","W08.54","N37.11","2005-05-02","Coll. Smit, Duiven"
"albomaculatus","(LUCAS)","PORTUGAL","W08.54","N37.11","2017-04-23","Smit"
"albomaculatus","(LUCAS)","PORTUGAL","W08.55","N37.07","1997-04-01","Hartmann"
"albomaculatus","(LUCAS)","PORTUGAL","W08.56","N37.01","1995-05-07","Schwarz"
"albomaculatus","(LUCAS)","PORTUGAL","W09.13","N38.25","2012-05-16","Baldock"
"albomaculatus","(LUCAS)","PORTUGAL","W09.19","N38.41","1955-04-17","Museo Zoologico de Coimbra"
"albomaculatus","(LUCAS)","PORTUGAL","W09.19","N38.41","1956-05-06","Museo Zoologico de Coimbra"
"albomaculatus","(LUCAS)","PORTUGAL","W09.19","N38.41","1955-04-26","Museo Zoologico de Coimbra"
"albomaculatus","(LUCAS)","PORTUGAL","W09.23","N38.42","1951-04-15","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","PORTUGAL","W09.23","N38.42","1955-04-17","Museo Zoologico de Coimbra"
"albomaculatus","(LUCAS)","PORTUGAL","W09.23","N38.42","1955-04-28","Museo Zoologico de Coimbra"
"albomaculatus","(LUCAS)","SPAIN","E00.30","N41.13","2000-05-06","Scheuchl"
"albomaculatus","(LUCAS)","SPAIN","E00.58","N41.03","2001-05-04","Scheuchl"
"albomaculatus","(LUCAS)","SPAIN","E02.31","N39.30","1977-03-25","USDA, Logan, Utah"
"albomaculatus","(LUCAS)","SPAIN","E03.02","N39.43","2010-04-25","Baldock"
"albomaculatus","(LUCAS)","SPAIN","E03.12","N39.34","Mai 1890","Museo Nacional de Ciencias Naturales, Madrid"
"albomaculatus","(LUCAS)","SPAIN","E03.12","N39.34","Mai 1890","Museo Nacional de Ciencias Naturales, Madrid"
"albomaculatus","(LUCAS)","SPAIN","E03.26","N39.42","16.-22.4.1993","Kuhlmann"
"albomaculatus","(LUCAS)","SPAIN","W00.29","N38.20","2000-05-01","Scheuchl"
"albomaculatus","(LUCAS)","SPAIN","W00.53","N41.39","1970-06-11","Natural History Museum, London"
"albomaculatus","(LUCAS)","SPAIN","W01.25","N37.51","2000-04-30","Scheuchl"
"albomaculatus","(LUCAS)","SPAIN","W01.52","N39.02","1960-05-24","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","SPAIN","W02.07","N37.07","2014-03-25","Bogusch"
"albomaculatus","(LUCAS)","SPAIN","W02.12","N41.03","1955-07-28","Museo Nacional de Ciencias Naturales, Madrid"
"albomaculatus","(LUCAS)","SPAIN","W02.14","N37.09","2014-03-31","Bogusch"
"albomaculatus","(LUCAS)","SPAIN","W02.21","N40.03","1983-06-08","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","SPAIN","W02.59","N37.01","1988-06-24","Schwarz"
"albomaculatus","(LUCAS)","SPAIN","W02.59","N37.01","1988-06-24","Schwarz"
"albomaculatus","(LUCAS)","SPAIN","W02.59","N37.01","1991-07-28","J. Ortiz-Sanchez"
"albomaculatus","(LUCAS)","SPAIN","W03.08","N37.04","1988-06-24","Kuhlmann"
"albomaculatus","(LUCAS)","SPAIN","W03.08","N37.04","1988-06-24","Schwarz"
"albomaculatus","(LUCAS)","SPAIN","W03.09.20","N40.34.07","2013-06-01","Liebig"
"albomaculatus","(LUCAS)","SPAIN","W03.11","N39.58","1983-06-08","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","SPAIN","W03.18","N40.26","2008-06-15","J. Ortiz-Sanchez"
"albomaculatus","(LUCAS)","SPAIN","W03.19","N36.56","2014-05-20","Smit"
"albomaculatus","(LUCAS)","SPAIN","W03.19","N36.56","2014-05-13","Smit"
"albomaculatus","(LUCAS)","SPAIN","W03.19","N36.56","2014-05-19","Smit"
"albomaculatus","(LUCAS)","SPAIN","W03.19","N36.56","2014-05-14","Smit"
"albomaculatus","(LUCAS)","SPAIN","W03.21","N39.59","1983-06-08","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","SPAIN","W03.21","N36.57","1991-07-29","J. Ortiz-Sanchez"
"albomaculatus","(LUCAS)","SPAIN","W03.32","N36.56","1987-05-24","J. Ortiz-Sanchez"
"albomaculatus","(LUCAS)","SPAIN","W03.39","N37.16","26.-27.5.1983","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","SPAIN","W03.42","N40.25","1956-06-11","Museo Nacional de Ciencias Naturales, Madrid"
"albomaculatus","(LUCAS)","SPAIN","W03.42","N37.15","1988-05-11","J. Ortiz-Sanchez"
"albomaculatus","(LUCAS)","SPAIN","W03.48","N40.38","1979-06-03","Natural History Museum, London"
"albomaculatus","(LUCAS)","SPAIN","W03.54","N37.03","1983-05-28","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","SPAIN","W03.57","N40.21","2013-06-04","Liebig"
"albomaculatus","(LUCAS)","SPAIN","W04.04","N40.30","2013-06-04","Liebig"
"albomaculatus","(LUCAS)","SPAIN","W04.07","N40.35","E.5.1981","ETH Zürich, Entomologische Sammlungen"
"albomaculatus","(LUCAS)","SPAIN","W04.26","N40.23","2010-05-26","Prosi"
"albomaculatus","(LUCAS)","SPAIN","W04.28","N36.40","1983-04-17","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","SPAIN","W04.30","N36.36","10.-14.4.1983","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","SPAIN","W04.43","N41.39","6.-8.7.1975","USDA, Logan, Utah"
"albomaculatus","(LUCAS)","SPAIN","W04.45","N36.30","21.-22.4.1983","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","SPAIN","W04.45","N41.39","1974-05-26","USDA, Logan, Utah"
"albomaculatus","(LUCAS)","SPAIN","W05.01","N42.22","1967-06-27","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","SPAIN","W05.11","N36.51","1985-05-20","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","SPAIN","W05.12","N40.22","1983-06-06","National Museum of Natural History, Leiden"
"albomaculatus","(LUCAS)","SPAIN","W05.23","N41.36","1982-06-28","USDA, Logan, Utah"
"albomaculatus","(LUCAS)","SPAIN","W05.23","N40.20","1961-06-23","National Museum of Natural History, Leiden"
"brevigena","NOSKIEWICZ ","PORTUGAL","W08.25","N37.10","2012-04-20","Kuhlmann"
"brevigena","NOSKIEWICZ ","PORTUGAL","W08.47","N37.43","2012-05-20","Baldock"
"brevigena","NOSKIEWICZ","PORTUGAL","W08.48","N37.18","1.-9.5.2016","Baldock"
